symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
MARUTI,2022-01-27,2022-03-02,8664.05,7887.849999999999,11,stop,Bullish Engulfing,10.0,-8538.199999999997,-8.95885873234803,34
ADANIENSOL,2022-02-23,2022-03-03,1995.0,2335.05,51,target,Bullish Engulfing,8.0,17342.55000000001,17.045112781954884,8
NATIONALUM,2022-02-23,2022-03-04,114.31,129.87,897,target,Bullish Engulfing,7.0,13957.320000000002,13.612107427171738,9
JSWENERGY,2022-02-28,2022-03-08,336.05,309.95,304,stop,Bullish Engulfing,10.0,-7934.400000000007,-7.766701383722663,8
JINDALSTEL,2022-03-09,2022-03-14,445.05,482.8500000000001,231,target,Pin Bar,9.0,8731.800000000016,8.4934277047523,5
BDL,2022-04-04,2022-04-08,289.05,329.25000000000006,359,target,Morning Star,10.0,14431.800000000016,13.907628437986519,4
GAIL,2022-04-22,2022-04-25,97.84,94.79,1077,stop,Pin Bar,9.0,-3284.8499999999967,-3.1173344235486455,3
VBL,2022-04-26,2022-04-27,150.1,137.7,700,stop,Bullish Engulfing,7.0,-8680.000000000004,-8.26115922718188,1
BAJAJ-AUTO,2022-04-26,2022-04-28,3632.55,3875.750000000001,28,target,Bullish Engulfing,7.0,6809.60000000002,6.6950214036971545,2
NTPC,2022-05-10,2022-05-11,159.85000000000002,155.89999999999998,656,stop,Pin Bar,9.0,-2591.20000000003,-2.471066624960927,1
GODFRYPHLP,2022-05-10,2022-05-12,401.05,371.95,260,stop,Bullish Engulfing,7.0,-7566.0000000000055,-7.255953123051995,2
VBL,2022-05-11,2022-05-12,145.9,139.95,712,stop,Morning Star,10.0,-4236.400000000012,-4.078135709390008,1
ADANIPOWER,2022-05-27,2022-06-03,65.05,57.150000000000006,1590,stop,Pin Bar,9.0,-12560.999999999987,-12.144504227517283,7
HAL,2022-06-15,2022-06-16,949.75,920.0500000000001,107,stop,Bullish Engulfing,10.0,-3177.899999999993,-3.1271387207159718,1
BDL,2022-06-07,2022-06-20,401.0,378.25,254,stop,Pin Bar,9.0,-5778.5,-5.673316708229425,13
EICHERMOT,2022-07-05,2022-07-07,2815.0,2925.250000000001,35,target,Pin Bar,9.0,3858.750000000032,3.9165186500888405,2
TIINDIA,2022-07-06,2022-07-07,1834.05,2043.7499999999998,55,target,Morning Star,7.0,11533.499999999989,11.433712276110231,1
ASHOKLEY,2022-07-18,2022-08-01,70.5,75.25,1459,target,Bullish Engulfing,10.0,6930.25,6.737588652482263,14
NESTLEIND,2022-07-21,2022-08-01,933.05,974.2499999999998,110,target,Pin Bar,9.0,4531.99999999998,4.415626172230835,11
ADANIPOWER,2022-08-11,2022-08-18,68.55,76.64999999999999,1520,target,Morning Star,7.0,12311.99999999999,11.816192560175054,7
DABUR,2022-07-28,2022-08-19,569.3,596.1999999999998,181,target,Bullish Engulfing,7.0,4868.899999999975,4.725101001229559,22
PHOENIXLTD,2022-08-12,2022-08-19,665.5,700.7499999999998,156,target,Pin Bar,9.0,5498.9999999999645,5.296769346356078,7
BANKBARODA,2022-08-24,2022-09-08,109.0,122.19999999999999,975,target,Bullish Engulfing,10.0,12869.999999999989,12.110091743119256,15
PHOENIXLTD,2022-08-30,2022-09-15,714.9499999999999,667.95,150,stop,Bullish Engulfing,10.0,-7049.999999999983,-6.573886285754238,16
TIINDIA,2022-09-20,2022-09-22,2584.4,2783.3000000000006,41,target,Pin Bar,9.0,8154.900000000022,7.696177062374265,2
ASIANPAINT,2022-09-27,2022-09-30,3468.05,3353.95,30,stop,Bullish Engulfing,10.0,-3423.000000000011,-3.290033304018114,3
ADANIPOWER,2022-08-30,2022-10-03,80.0,71.3,1336,stop,Bullish Engulfing,10.0,-11623.200000000004,-10.875000000000002,34
HAL,2022-11-04,2022-11-10,1283.55,1229.95,82,stop,Bullish Engulfing,10.0,-4395.1999999999925,-4.17591835144715,6
COCHINSHIP,2022-11-23,2022-12-21,330.55,296.75,319,stop,Bullish Engulfing,10.0,-10782.200000000004,-10.225381939192257,28
PIIND,2022-12-05,2022-12-26,3511.0,3411.95,30,stop,Pin Bar,9.0,-2971.5000000000055,-2.8211335801765935,21
BRITANNIA,2022-12-27,2022-12-29,4399.95,4313.75,23,stop,Bullish Engulfing,10.0,-1982.5999999999958,-1.9591131717405785,2
FEDERALBNK,2023-01-06,2023-01-09,137.15,135.04999999999998,761,stop,Pin Bar,9.0,-1598.1000000000172,-1.5311702515494185,3
PNB,2023-01-06,2023-01-10,54.019999999999996,52.32,1935,stop,Pin Bar,9.0,-3289.499999999992,-3.1469825990373845,4
CGPOWER,2023-01-09,2023-01-10,272.0,279.45000000000005,385,target,Pin Bar,8.0,2868.2500000000173,2.738970588235312,1
IDFCFIRSTB,2023-01-12,2023-01-25,60.099999999999994,58.150000000000006,1747,stop,Bullish Engulfing,10.0,-3406.64999999998,-3.2445923460898363,13
JSWSTEEL,2022-11-30,2023-01-30,735.9499999999999,709.95,143,stop,Bullish Engulfing,10.0,-3717.9999999999836,-3.5328486989605112,61
BRITANNIA,2023-02-16,2023-02-17,4599.900000000001,4530.15,22,stop,Pin Bar,9.0,-1534.50000000002,-1.5163373116807044,1
BANKINDIA,2022-12-27,2023-02-20,83.41,70.03,1255,stop,Bullish Engulfing,8.0,-16791.899999999994,-16.04124205730727,55
TIINDIA,2023-03-14,2023-03-17,2725.05,2620.2,37,stop,Pin Bar,9.0,-3879.4500000000135,-3.8476358231959162,3
MCX,2023-03-14,2023-03-24,298.05,290.95,340,stop,Pin Bar,7.0,-2414.0000000000077,-2.3821506458648,10
ZYDUSLIFE,2023-03-22,2023-03-31,480.05,493.55,210,target,Pin Bar,9.0,2835.0,2.8122070617643935,9
HINDUNILVR,2023-04-03,2023-04-05,2570.0,2516.5,39,stop,Pin Bar,7.0,-2086.5,-2.081712062256813,2
GODREJCP,2023-04-05,2023-04-27,970.05,944.2,103,stop,Pin Bar,9.0,-2662.5499999999906,-2.6648110922117274,22
ABCAPITAL,2023-05-11,2023-05-12,172.4,166.14999999999998,583,stop,Pin Bar,9.0,-3643.7500000000164,-3.625290023201877,1
COFORGE,2023-05-26,2023-05-31,864.05,907.2499999999998,116,target,Bullish Engulfing,10.0,5011.199999999979,4.999710664892065,5
ASTRAL,2023-06-26,2023-07-04,1972.05,1927.3500000000001,51,stop,Pin Bar,9.0,-2279.6999999999907,-2.2666768083973388,8
PRESTIGE,2023-06-27,2023-07-13,581.9,556.95,173,stop,Pin Bar,9.0,-4316.3499999999885,-4.287678295239717,16
COFORGE,2023-06-21,2023-07-14,920.0,991.2499999999998,109,target,Pin Bar,9.0,7766.249999999975,7.744565217391286,23
GODREJPROP,2023-06-27,2023-07-14,1544.2,1658.9499999999998,65,target,Morning Star,10.0,7458.749999999985,7.43103224970858,17
AUROPHARMA,2023-06-26,2023-07-19,701.05,771.7499999999998,143,target,Bullish Engulfing,10.0,10110.099999999973,10.08487269096352,23
HEROMOTOCO,2023-07-21,2023-07-31,2926.8,3023.000000000001,35,target,Pin Bar,9.0,3367.0000000000255,3.2868662019953865,10
OBEROIRLTY,2023-08-02,2023-08-14,1113.8999999999999,1065.95,92,stop,Pin Bar,9.0,-4411.399999999983,-4.304695215010312,12
RECLTD,2023-09-04,2023-09-08,240.85000000000002,261.55000000000007,425,target,Pin Bar,9.0,8797.50000000002,8.594560930039453,4
SHRIRAMFIN,2023-09-08,2023-09-11,382.0,392.40000000000003,270,target,Pin Bar,9.0,2808.000000000009,2.7225130890052407,3
ADANIPOWER,2023-09-22,2023-10-03,77.05,72.85000000000001,1345,stop,Bullish Engulfing,10.0,-5648.9999999999845,-5.451005840363388,11
