symbol,entry_date,exit_date,entry_price,exit_price,initial_stop,risk_per_share,mfe_price,mfe_r_multiple,hit_1to2,never_hit_initial_stop,is_loss,pnl,ret_pct,holding_days,sector
TVSMOTOR,2021-01-29,2021-02-05,560.7,628.6248242985707,539.99,20.71,658.0,4.7,True,True,False,23094.44026151403,12.114290047899168,7,NIFTY AUTO
TMPV,2021-02-01,2021-02-05,192.5,215.58805930738023,181.61,10.89,235.4,3.94,True,True,False,20663.81308010531,11.99379704279493,4,NIFTY AUTO
UNOMINDA,2021-02-02,2021-02-10,246.3,281.40215542740225,234.24,12.06,303.0,4.7,True,True,False,28783.767450469837,14.25178864287544,8,NIFTY AUTO
APLAPOLLO,2021-02-08,2021-02-10,481.55,463.78707373707294,463.72,17.83,487.45,0.33,False,True,True,-7709.109998110347,-3.688698216784769,2,NIFTY METAL
TATAELXSI,2021-01-27,2021-02-12,2658.55,2818.378065856677,2505.84,152.71,3050.0,2.56,True,True,False,9909.340083113966,6.011851041232141,16,NIFTY MS IT TELCM
HAVELLS,2021-02-02,2021-02-18,1130.3,1171.531651993822,1080.55,49.75,1231.9,2.04,True,True,False,7339.234054900311,3.64785030468211,16,NIFTY CONSR DURBL
LICHSGFIN,2021-02-15,2021-02-19,467.55,451.3457909368114,447.94,19.61,478.9,0.58,False,True,True,-7162.260405929367,-3.4657703054622235,4,NIFTY MS FIN SERV
TMPV,2021-02-23,2021-03-05,223.05,229.25,212.14,10.91,245.8,2.09,True,True,False,5703.999999999989,2.779645819323018,10,NIFTY AUTO
JINDALSTEL,2021-02-23,2021-03-05,336.9,333.5,321.74,15.16,354.8,1.18,False,True,True,-2070.5999999999863,-1.0092015434847057,10,NIFTY METAL
NMDC,2021-03-08,2021-03-09,16.7,16.067842495300475,16.07,0.63,16.9,0.32,False,False,True,-7842.546003302298,-3.785374279637865,1,NIFTY METAL
MFSL,2021-02-25,2021-03-12,889.05,893.0262842912509,842.68,46.37,953.7,1.39,False,True,False,886.7113969489678,0.4472509185367457,15,NIFTY MS FIN SERV
NMDC,2021-03-15,2021-03-18,16.4,15.802906794907251,15.73,0.67,16.6,0.3,False,True,True,-7449.334826737094,-3.640812226175283,3,NIFTY METAL
ADANIPOWER,2021-03-16,2021-03-19,16.6,17.019124438868026,15.8,0.8,18.6,2.5,True,True,False,5169.061704559348,2.524846017277249,3,NIFTY COMMODITIES
JSWSTEEL,2021-03-19,2021-03-25,440.55,430.1643423490258,424.26,16.29,449.0,0.52,False,True,True,-4808.559492401039,-2.357429951418488,6,NIFTY METAL
PGEL,2021-03-23,2021-03-25,40.8,38.0,38.58,2.22,42.7,0.86,False,False,True,-12899.599999999988,-6.8627450980392135,2,NIFTY CONSR DURBL
SHRIRAMFIN,2021-03-26,2021-04-05,285.85,282.844892783541,273.24,12.61,295.8,0.79,False,True,True,-2106.580158737765,-1.051288163882813,10,NIFTY FINSEREXBNK
ADANIENT,2021-03-30,2021-04-07,1000.1,1135.1822486529536,952.59,47.51,1213.4,4.49,True,True,False,27286.61422789662,13.50687417787757,8,NIFTY METAL
PERSISTENT,2021-04-08,2021-04-12,1006.4,997.9072788865248,966.42,39.98,1049.5,1.08,False,True,True,-1859.90592385105,-0.8438713348047577,4,NIFTY MS IT TELCM
ADANIENT,2021-04-09,2021-04-12,1164.7,1105.094606519876,1105.09,59.61,1190.5,0.43,False,False,True,-11086.603187303086,-5.11766064051894,3,NIFTY METAL
JSWSTEEL,2021-03-26,2021-04-19,445.2,600.0,430.09,15.11,644.0,13.16,True,True,False,69660.0,34.77088948787062,24,NIFTY METAL
SAIL,2021-04-15,2021-04-19,92.8,87.25,87.58,5.22,95.35,0.49,False,False,True,-11666.099999999997,-5.980603448275856,4,NIFTY METAL
JINDALSTEL,2021-04-15,2021-04-30,414.3,435.5356886404476,394.81,19.49,459.25,2.31,True,True,False,11254.914979437208,5.125679131172478,15,NIFTY METAL
TATASTEEL,2021-04-22,2021-05-12,86.53,112.45580096031568,82.93,3.6,118.34,8.84,True,True,False,65177.4636142336,29.961632913805225,20,NIFTY METAL
SUPREMEIND,2021-05-18,2021-05-20,2266.5,2200.2231358227577,2200.22,66.28,2339.95,1.11,False,False,True,-6627.686417724226,-2.924194316225115,2,NIFTY MULTI MFG
ADANIENSOL,2021-05-18,2021-05-25,1260.35,1465.254973886092,1201.48,58.87,1590.0,5.6,True,True,False,37087.80027338269,16.257783463807062,7,NIFTY COMMODITIES
CGPOWER,2021-05-27,2021-06-01,88.65,85.11027343511995,85.05,3.6,90.0,0.37,False,True,True,-9521.864459527347,-3.9929233670389808,5,NIFTY ENERGY
PERSISTENT,2021-05-17,2021-06-03,1202.2,1221.9402895998337,1144.85,57.35,1284.0,1.43,False,True,False,3770.3953135681854,1.6420137747324537,17,NIFTY MS IT TELCM
KEI,2021-05-27,2021-06-07,623.6,677.0395062039294,598.2,25.4,718.9,3.75,True,True,False,20413.891369901008,8.569516710059233,11,NIFTY EV
ADANIENT,2021-06-01,2021-06-07,1373.0,1583.2537190095725,1319.1,53.9,1664.8,5.41,True,True,False,36163.63966964643,15.31345367877439,6,NIFTY METAL
BHEL,2021-06-04,2021-06-14,73.9,69.4,70.47,3.43,79.55,1.65,False,False,True,-15439.5,-6.0893098782138,10,NIFTY ENERGY
KEI,2021-06-15,2021-06-17,717.2,680.1,685.56,31.64,731.0,0.44,False,False,True,-12873.700000000008,-5.172894590072508,2,NIFTY EV
BSE,2021-06-15,2021-06-17,105.0,101.22361751662382,101.13,3.87,106.5,0.39,False,True,True,-8968.908398018431,-3.5965547460725555,2,NIFTY MS FIN SERV
NTPC,2021-06-16,2021-06-17,119.8,117.00826070794103,117.01,2.79,120.6,0.29,False,False,True,-5762.149898809671,-2.3303332988805936,1,NIFTY COMMODITIES
NBCC,2021-06-22,2021-06-24,38.57,36.70320008299519,36.66,1.91,39.87,0.68,False,True,True,-11824.31067430848,-4.840030897082737,2,NIFTY MULTI INFRA
KEI,2021-06-25,2021-07-05,708.1,718.7524708088145,674.72,33.38,763.65,1.66,False,True,False,3664.449958232163,1.5043737902576515,10,NIFTY EV
COFORGE,2021-05-26,2021-07-09,697.0,866.9809472437283,667.09,29.91,904.0,6.92,True,True,False,57963.503010111366,24.387510364953854,44,NIFTY MS IT TELCM
CDSL,2021-07-02,2021-07-19,517.4,696.0403183050055,501.44,15.96,789.5,17.04,True,True,False,85211.43183148763,34.52654006668061,17,NIFTY MS FIN SERV
MPHASIS,2021-07-14,2021-07-20,2215.6,2154.3742289829333,2139.55,76.05,2260.0,0.58,False,True,True,-7163.415208996788,-2.76339461171089,6,NIFTY MS IT TELCM
NATIONALUM,2021-07-16,2021-07-20,86.46,83.7041266712454,83.12,3.34,89.1,0.79,False,True,True,-8529.427952495453,-3.187454694372649,4,NIFTY METAL
PERSISTENT,2021-07-23,2021-07-28,1519.6,1567.1460380056274,1469.55,50.05,1649.0,2.59,True,True,False,8177.918536967922,3.128852198317156,5,NIFTY MS IT TELCM
INOXWIND,2021-07-27,2021-08-03,29.87,32.47036794610786,27.85,2.02,35.19,2.64,True,True,False,17120.82255717412,8.705617496176288,7,NIFTY ENERGY
PRESTIGE,2021-08-02,2021-08-05,364.4,357.87043099053,349.94,14.46,377.8,0.93,False,True,True,-4903.706326111956,-1.7918685536415957,3,NIFTY REALTY
DLF,2021-07-29,2021-08-06,340.05,344.1520840121992,328.82,11.23,359.25,1.71,False,True,False,3302.1776298203213,1.2063178980147526,8,NIFTY REALTY
SAIL,2021-08-05,2021-08-09,143.05,137.5503588534954,137.44,5.61,144.3,0.22,False,True,True,-9838.858011096756,-3.844558648377916,4,NIFTY METAL
TATASTEEL,2021-08-05,2021-08-10,137.84,133.676041621289,133.55,4.29,138.86,0.24,False,True,True,-8265.457381741366,-3.020863594537881,5,NIFTY METAL
OFSS,2021-07-26,2021-08-11,3671.5,3886.355501296017,3548.51,122.99,4154.0,3.92,True,True,False,15469.596093313216,5.8519815142589415,16,NIFTY MS IT TELCM
VEDL,2021-08-11,2021-08-17,146.05,146.27345665334823,140.68,5.37,154.25,1.53,False,True,False,410.9367855073808,0.1530001049970808,6,NIFTY METAL
MPHASIS,2021-07-23,2021-08-25,2363.3,2588.022358570533,2270.4,92.9,2812.9,4.84,True,True,False,24719.45944275856,9.508837581793772,33,NIFTY MS IT TELCM
HCLTECH,2021-08-23,2021-09-02,1163.1,1156.47462282163,1134.72,28.38,1193.4,1.07,False,True,True,-1563.589014095307,-0.5696309155162838,10,NIFTY IT
LTM,2021-08-12,2021-09-08,4877.05,5322.076064936739,4744.75,132.3,5538.8,5.0,True,True,False,24476.43357152065,9.12490265502177,27,NIFTY IT
GODREJCP,2021-08-25,2021-09-09,1040.85,1096.3638720819774,1011.08,29.77,1135.5,3.18,True,True,False,14544.634485478113,5.333513194214112,15,NIFTY FMCG
MPHASIS,2021-09-03,2021-09-13,2766.3,2742.4468671640784,2668.06,98.24,2887.4,1.23,False,True,True,-2337.6070179203334,-0.8622757053075136,10,NIFTY MS IT TELCM
PERSISTENT,2021-08-17,2021-09-17,1605.95,1802.16448520641,1553.91,52.04,1879.4,5.25,True,True,False,33356.4624850897,12.217969750391354,31,NIFTY MS IT TELCM
HINDALCO,2021-09-13,2021-09-17,478.35,473.0775863348465,463.77,14.58,488.0,0.66,False,True,True,-3147.6309580966526,-1.1022083547932549,4,NIFTY METAL
TATACONSUM,2021-08-26,2021-09-20,842.8,854.8366844229572,823.82,18.98,878.1,1.86,False,True,False,3779.5189088085767,1.428178028352778,25,NIFTY FMCG
INDHOTEL,2021-10-04,2021-10-06,182.1,179.24685853605746,173.62,8.48,194.55,1.47,False,True,True,-4485.138381317665,-1.5667992663056185,2,NIFTY IND TOURISM
KEI,2021-10-01,2021-10-07,965.45,985.3518942934566,922.34,43.11,1053.95,2.05,True,True,False,5851.156922276214,2.061411185815576,6,NIFTY EV
COALINDIA,2021-10-11,2021-10-13,183.25,176.45033305558485,176.45,6.8,187.15,0.57,False,False,True,-10566.682431621144,-3.71059587689776,2,NIFTY ENERGY
GMRAIRPORT,2021-10-11,2021-10-19,43.05,42.47155170409717,41.06,1.99,46.1,1.53,False,True,True,-3826.43547739718,-1.343666192573345,8,NIFTY IND TOURISM
ONGC,2021-10-25,2021-10-27,145.85,142.63297968033257,140.97,4.88,148.2,0.48,False,True,True,-6327.878968785828,-2.2057047100907945,2,NIFTY OIL AND GAS
BANKBARODA,2021-10-21,2021-10-28,82.25,85.29218902183953,79.08,3.17,90.05,2.46,True,True,False,10425.58177784408,3.698710056947752,7,NIFTY PSU BANK
INDIANB,2021-10-21,2021-10-28,166.3,172.52390785479486,158.89,7.41,186.15,2.68,True,True,False,10549.523813877262,3.742578385324613,7,NIFTY PSU BANK
BHEL,2021-10-26,2021-10-28,71.65,67.99030396660177,67.93,3.72,73.1,0.39,False,True,True,-13833.651006245324,-5.107740451358311,2,NIFTY ENERGY
TECHM,2021-10-26,2021-10-29,1469.6,1420.869944556904,1416.88,52.72,1533.5,1.21,False,True,True,-9551.090866846778,-3.3158720361388005,3,NIFTY IT
BANKBARODA,2021-11-02,2021-11-10,88.7,88.74598149571415,84.83,3.87,94.0,1.37,False,True,False,145.20956346526887,0.0518393412786366,8,NIFTY PSU BANK
INDIGO,2021-11-12,2021-11-18,2306.25,2280.1672530543638,2216.47,89.78,2380.0,0.82,False,True,True,-3156.0123804220407,-1.130959217154981,6,NIFTY IND TOURISM
TECHM,2021-11-12,2021-11-18,1490.4,1478.5826675496269,1442.74,47.66,1528.6,0.8,False,True,True,-2221.6585006701644,-0.7928967022526323,6,NIFTY IT
POWERGRID,2021-11-30,2021-12-03,151.5,153.07627033288605,147.43,4.07,158.8,1.79,False,True,False,2903.489953176059,1.0404424639511634,3,NIFTY ENERGY
BAJAJHLDNG,2021-11-26,2021-12-06,5036.7,5264.952232882693,4887.01,149.69,5526.6,3.27,True,True,False,12553.872808548143,4.531781382307742,10,NIFTY FINSEREXBNK
BSE,2021-12-01,2021-12-16,183.5,241.748028578107,174.72,8.78,264.0,9.17,True,True,False,89119.48372450372,31.742794865453416,15,NIFTY MS FIN SERV
PGEL,2021-12-08,2021-12-17,64.9,66.88302067084074,60.36,4.54,74.4,2.09,True,True,False,6460.6813455991,3.0555018040689275,9,NIFTY CONSR DURBL
UNOMINDA,2021-12-21,2021-12-29,553.5,591.5138106359066,526.27,27.23,628.7,2.76,True,True,False,20679.51298593317,6.867897133858447,8,NIFTY AUTO
GMRAIRPORT,2022-01-03,2022-01-07,47.4,46.242863478152266,45.41,1.99,49.15,0.88,False,True,True,-7456.587746786789,-2.4412162908180046,4,NIFTY IND TOURISM
PGEL,2022-01-05,2022-01-12,84.35,79.60829865701113,79.23,5.12,87.15,0.55,False,True,True,-14144.495106135771,-5.621459802002205,7,NIFTY CONSR DURBL
TCS,2022-01-07,2022-01-12,3853.5,3847.5334577378935,3789.5,64.0,3978.0,1.95,False,True,True,-465.39029644430593,-0.154834365177281,5,NIFTY IT
SUZLON,2022-01-07,2022-01-13,9.8,10.760913508169162,9.37,0.43,11.25,3.37,True,True,False,29807.537023407396,9.80523987927715,6,NIFTY ENERGY
HCLTECH,2022-01-11,2022-01-13,1343.65,1322.3074947345276,1313.49,30.16,1359.4,0.52,False,True,True,-4908.776211058671,-1.588397667954633,2,NIFTY IT
BANKBARODA,2022-01-25,2022-02-01,85.1,90.07305886678832,82.0,3.1,95.25,3.27,True,True,False,17883.119684970803,5.843782452160196,7,NIFTY PSU BANK
OIL,2022-01-27,2022-02-03,153.25,153.87656887590697,147.21,6.04,161.05,1.29,False,True,False,1265.0425604561703,0.4088540788952599,7,NIFTY OIL AND GAS
TATAELXSI,2022-01-28,2022-02-03,7183.15,7261.612940503859,6856.5,326.65,7964.4,2.39,True,True,False,3373.9064416659585,1.0923193933561004,6,NIFTY MS IT TELCM
ONGC,2022-01-28,2022-02-03,152.55,151.6881633843162,148.28,4.27,158.1,1.3,False,True,True,-1747.8046566067735,-0.5649535337160394,6,NIFTY OIL AND GAS
TATAELXSI,2022-02-07,2022-02-11,7640.05,7363.976000914722,7302.41,337.64,7833.0,0.57,False,True,True,-11042.959963411122,-3.6135103708127336,4,NIFTY MS IT TELCM
BSE,2022-02-09,2022-02-14,248.5,240.9168000930148,236.13,12.37,258.5,0.81,False,True,True,-9471.416683824533,-3.0515894997928394,5,NIFTY MS FIN SERV
MARUTI,2022-02-09,2022-02-14,8949.45,8500.0,8656.62,292.83,9050.0,0.34,False,False,True,-15281.300000000025,-5.022096329942071,5,NIFTY AUTO
JINDALSTEL,2022-02-10,2022-02-14,440.9,422.35,424.21,16.69,444.8,0.23,False,False,True,-13040.649999999969,-4.207303243365834,4,NIFTY METAL
CHOLAFIN,2022-02-22,2022-02-24,691.6,663.0,665.07,26.53,703.9,0.46,False,False,True,-12412.40000000001,-4.135338345864669,2,NIFTY FINSEREXBNK
BEL,2022-03-09,2022-03-14,74.15,71.30001979706876,71.25,2.9,75.5,0.47,False,True,True,-11451.22045537776,-3.8435336519639263,5,NIFTY IND DEFENCE
TATASTEEL,2022-03-10,2022-03-15,124.35,119.70946404062305,119.57,4.78,127.43,0.64,False,True,True,-11058.3971911953,-3.731834305892212,5,NIFTY METAL
VOLTAS,2022-03-23,2022-03-25,1304.85,1258.793854013065,1258.24,46.61,1340.0,0.75,False,True,True,-10592.913576995052,-3.5296122915994155,2,NIFTY CONSR DURBL
ADANIENSOL,2022-03-16,2022-03-30,2305.4,2360.316312553128,2188.15,117.25,2583.9,2.38,True,True,False,6864.5390691410175,2.3820730698849824,14,NIFTY COMMODITIES
JINDALSTEL,2022-03-17,2022-04-12,477.15,551.6538452376816,455.81,21.34,577.8,4.72,True,True,False,46117.88020212492,15.61434459555311,26,NIFTY METAL
JSWSTEEL,2022-04-08,2022-04-12,756.6,745.0437228349423,733.99,22.61,775.0,0.81,False,True,True,-4865.192686489307,-1.527395871670334,4,NIFTY METAL
BDL,2022-04-01,2022-04-18,284.3,362.4787196942105,271.35,12.95,442.0,12.18,True,True,False,82244.01311830943,27.498670311013186,17,NIFTY IND DEFENCE
NTPC,2022-04-13,2022-04-20,153.95,159.11768519822834,150.31,3.64,166.35,3.4,True,True,False,10691.940675134469,3.356729586377627,7,NIFTY COMMODITIES
VBL,2022-04-25,2022-04-27,145.95,139.99289811439473,139.99,5.96,152.9,1.17,False,False,True,-13034.138925704296,-4.081604580750431,2,NIFTY FMCG
ADANIENT,2022-04-21,2022-04-29,2216.6,2252.7922193696986,2148.39,68.21,2347.1,1.91,False,True,False,5211.6795892366135,1.63278080707836,8,NIFTY METAL
NTPC,2022-04-28,2022-05-02,159.7,154.6,155.54,4.16,161.0,0.31,False,False,True,-10189.799999999988,-3.193487789605509,4,NIFTY COMMODITIES
VBL,2022-05-02,2022-05-05,147.3,140.46150288738158,140.42,6.88,150.9,0.52,False,True,True,-14654.89931234129,-4.642564231241297,3,NIFTY FMCG
ADANIENSOL,2022-04-26,2022-05-09,2812.55,2663.903435508747,2651.66,160.89,2900.0,0.54,False,True,True,-14716.00988463407,-5.285117224271685,13,NIFTY COMMODITIES
NTPC,2022-05-04,2022-05-10,158.65,154.73262733274655,154.31,4.34,161.9,0.75,False,True,True,-7764.232626496358,-2.46919172218939,6,NIFTY COMMODITIES
POWERGRID,2022-05-04,2022-05-12,174.65,175.12547259372474,169.76,4.89,182.7,1.65,False,True,False,855.8506687045167,0.2722431112079704,8,NIFTY ENERGY
ASHOKLEY,2022-06-02,2022-06-06,69.3,66.77141208207154,66.77,2.53,70.15,0.34,False,False,True,-11262.33058645337,-3.6487560143267816,4,NIFTY AUTO
RELIANCE,2022-06-09,2022-06-10,1333.9,1298.7003553660734,1298.7,35.2,1335.9,0.06,False,False,True,-8060.718621169217,-2.638851835514411,1,NIFTY OIL AND GAS
BEL,2022-06-07,2022-06-13,81.95,79.74723794101395,79.29,2.66,83.5,0.58,False,True,True,-8236.127338548853,-2.6879341781403943,6,NIFTY IND DEFENCE
KEI,2022-06-07,2022-06-13,1316.9,1258.9736080257612,1255.08,61.82,1349.65,0.53,False,True,True,-13438.922938023416,-4.398693292902944,6,NIFTY EV
CGPOWER,2022-07-05,2022-07-12,194.2,199.4328529968745,187.19,7.01,211.5,2.47,True,True,False,8095.223586164893,2.694568999420466,7,NIFTY ENERGY
PHOENIXLTD,2022-07-07,2022-07-14,617.0,604.1305179873144,586.96,30.04,637.95,0.7,False,True,True,-6293.176704203249,-2.0858155612132223,7,NIFTY REALTY
BRITANNIA,2022-07-15,2022-07-19,3848.9,3758.575047271745,3758.58,90.32,3880.0,0.34,False,False,True,-7045.346312803897,-2.346773174887762,4,NIFTY FMCG
VBL,2022-07-19,2022-07-22,175.8,172.48205301397283,169.49,6.31,182.1,1.0,False,True,True,-5680.325240078533,-1.8873418578084111,3,NIFTY FMCG
CGPOWER,2022-07-21,2022-07-25,221.2,221.2635183786585,213.5,7.7,231.5,1.34,False,True,False,86.57555011157464,0.0287153610571966,4,NIFTY ENERGY
SIEMENS,2022-07-21,2022-07-25,2135.8,2085.7325568177107,2085.32,50.48,2142.95,0.14,False,True,True,-7059.509488702817,-2.344200916859696,4,NIFTY ENERGY
HINDUNILVR,2022-07-13,2022-07-26,2497.75,2582.125388541655,2436.41,61.34,2654.0,2.55,True,True,False,10125.046624998597,3.3780557918788867,13,NIFTY FMCG
SIEMENS,2022-08-01,2022-08-03,2101.7,2034.0,2051.58,50.12,2144.45,0.85,False,False,True,-9613.399999999974,-3.2212018841889845,2,NIFTY ENERGY
BDL,2022-08-08,2022-08-12,431.9,424.5218278277533,414.99,16.91,448.95,1.01,False,True,True,-5186.855037089395,-1.7083056661835294,4,NIFTY IND DEFENCE
CGPOWER,2022-07-29,2022-08-19,224.15,233.69999680153103,215.59,8.56,247.0,2.67,True,True,False,12730.145736440854,4.260538390154367,21,NIFTY ENERGY
VBL,2022-08-01,2022-08-19,185.2,201.1906674622761,179.08,6.12,216.85,5.17,True,True,False,25808.93728411366,8.634269688054053,18,NIFTY FMCG
HAL,2022-08-08,2022-08-19,1079.6,1124.248172920725,1048.6,31.0,1175.0,3.08,True,True,False,12546.136590723743,4.135621797028999,11,NIFTY IND DEFENCE
COALINDIA,2022-08-08,2022-08-19,200.5,202.73662906732216,195.29,5.21,211.15,2.05,True,True,False,3124.570807049091,1.1155257193626866,11,NIFTY ENERGY
ADANIPORTS,2022-08-16,2022-08-22,824.15,850.7170214314086,804.51,19.64,891.9,3.45,True,True,False,9617.26175816993,3.2235662720874414,6,NIFTY MOBILITY
EICHERMOT,2022-08-23,2022-08-26,3464.75,3386.3774856859795,3369.37,95.38,3513.7,0.51,False,True,True,-6975.153773947821,-2.261996228126717,3,NIFTY AUTO
ADANIENSOL,2022-08-24,2022-08-29,3700.4,3522.0,3543.22,157.18,3917.0,1.38,False,False,True,-14807.200000000008,-4.821100421576052,5,NIFTY COMMODITIES
PHOENIXLTD,2022-08-25,2022-08-29,711.3,668.0,679.29,32.01,723.0,0.37,False,False,True,-18792.19999999998,-6.087445522283142,4,NIFTY REALTY
KEI,2022-08-30,2022-09-13,1472.0,1544.5062506442605,1420.89,51.11,1606.95,2.64,True,True,False,14791.275131429094,4.925696375289412,14,NIFTY EV
HAL,2022-08-26,2022-09-14,1136.6,1271.466344058055,1104.29,32.31,1319.2,5.65,True,True,False,36413.91289567488,11.865770196907889,19,NIFTY IND DEFENCE
ITC,2022-08-30,2022-09-16,264.3,272.5506362834827,260.17,4.13,279.6,3.7,True,True,False,9397.474726886754,3.121693637337364,17,NIFTY FMCG
SIEMENS,2022-09-01,2022-09-16,2225.1,2310.867648011133,2166.97,58.13,2390.9,2.85,True,True,False,11235.56188945844,3.8545525149940696,15,NIFTY ENERGY
ADANIENSOL,2022-09-15,2022-09-16,4105.4,3959.0738049928286,3959.07,146.33,4236.75,0.9,False,False,True,-11267.117015552169,-3.5642372243184783,1,NIFTY COMMODITIES
EICHERMOT,2022-09-15,2022-09-19,3622.25,3529.8634178293223,3529.86,92.39,3672.0,0.54,False,False,True,-8130.019231019636,-2.550530255246808,4,NIFTY AUTO
VBL,2022-08-30,2022-09-26,206.85,225.9224876816073,197.98,8.87,238.95,3.62,True,True,False,27769.542064420188,9.220443645930509,27,NIFTY FMCG
COCHINSHIP,2022-09-19,2022-09-26,200.3,208.86840475662,193.11,7.19,218.9,2.59,True,True,False,13418.121848866873,4.277785699760339,7,NIFTY IND DEFENCE
ITC,2022-09-19,2022-09-26,276.75,281.0375631737255,272.57,4.18,288.3,2.76,True,True,False,4857.80907583101,1.5492549859893456,7,NIFTY FMCG
TIINDIA,2022-09-20,2022-09-26,2718.85,2664.0190007141896,2610.63,108.22,2855.0,1.26,False,True,True,-6415.226916439808,-2.016698210118628,6,NIFTY AUTO
BAJAJHLDNG,2022-09-20,2022-09-26,6964.7,6713.410116015967,6687.72,276.98,7039.9,0.27,False,True,True,-11056.75489529744,-3.6080503680565257,6,NIFTY FINSEREXBNK
COCHINSHIP,2022-09-29,2022-10-11,216.4,252.1612550776184,208.49,7.91,279.9,8.03,True,True,False,52318.71617855566,16.525533769694256,12,NIFTY IND DEFENCE
IDFCFIRSTB,2022-10-12,2022-10-25,55.1,56.49093553417798,52.96,2.14,59.45,2.03,True,True,False,8260.766137483006,2.524383909578898,13,NIFTY MS FIN SERV
FEDERALBNK,2022-10-21,2022-10-28,132.6,131.13492586536609,128.71,3.89,136.0,0.87,False,True,True,-3643.639372834532,-1.1048824544750424,7,NIFTY MS FIN SERV
COCHINSHIP,2022-11-02,2022-11-09,291.2,289.7706222901625,278.95,12.25,308.5,1.41,False,True,True,-1615.1968121163384,-0.4908577300266059,7,NIFTY IND DEFENCE
ITC,2022-10-31,2022-11-10,287.55,292.4420003388412,282.46,5.09,298.1,2.07,True,True,False,5581.772386617777,1.7012694622991376,10,NIFTY FMCG
NESTLEIND,2022-11-07,2022-11-10,1024.0,1003.7018359911648,1003.7,20.3,1042.1,0.89,False,False,True,-6596.903302871445,-1.982242578987814,3,NIFTY FMCG
INDIANB,2022-11-03,2022-11-14,240.3,245.70305012075195,231.03,9.27,257.75,1.88,False,True,False,7418.387815792377,2.248460308261313,11,NIFTY PSU BANK
COCHINSHIP,2022-11-11,2022-11-21,319.2,323.7462034725056,303.87,15.33,342.2,1.5,False,True,False,4700.774390570816,1.424249208178452,10,NIFTY IND DEFENCE
HDFCBANK,2022-11-24,2022-11-28,812.6,799.5164117901984,799.19,13.41,816.0,0.25,False,True,True,-5586.6921655852975,-1.6100896147922317,4,NIFTY PVT BANK
NMDC,2022-11-18,2022-12-06,31.2,33.61788530522102,29.97,1.23,34.65,2.81,True,True,False,26311.42789141518,7.749632388528926,18,NIFTY METAL
UNIONBANK,2022-11-16,2022-12-09,58.67,76.54366438049024,56.21,2.46,82.35,9.62,True,True,False,101164.94039357475,30.46474242456152,23,NIFTY PSU BANK
JINDALSTEL,2022-11-30,2022-12-09,535.75,555.888683317333,521.59,14.16,573.5,2.67,True,True,False,13130.421522901082,3.758970287882968,9,NIFTY METAL
HINDUNILVR,2022-12-06,2022-12-14,2654.55,2676.9470334044827,2604.96,49.59,2741.6,1.76,False,True,False,3068.3935764141024,0.8437224163976076,8,NIFTY FMCG
HDFCBANK,2022-12-01,2022-12-15,809.8,820.288677287137,797.26,12.54,834.7,1.98,False,True,False,3545.172923052333,1.2952182374829757,14,NIFTY PVT BANK
UNIONBANK,2022-12-13,2022-12-15,84.7,81.13480837076169,80.72,3.98,87.19,0.63,False,True,True,-15426.584179714182,-4.209199090009818,2,NIFTY PSU BANK
VBL,2022-11-30,2022-12-16,249.95,270.6236833631209,238.89,11.06,286.5,3.3,True,True,False,28922.48302500616,8.271127570762516,16,NIFTY FMCG
