symbol,entry_date,is_loss,entry_rsi14,atr_pct,vol_surge,entry_month,entry_year,holding_days,sector,ret_pct,mfe_r_multiple
GVT&D,2026-06-04,True,64.4,4.65,1.05,6,2026,4,NIFTY ENERGY,-4.480846275799532,0.26
CGPOWER,2026-06-04,True,68.4,3.21,1.87,6,2026,4,NIFTY ENERGY,-3.1549283377284687,0.47
ADANIGREEN,2026-06-05,True,71.6,3.79,2.23,6,2026,5,NIFTY COMMODITIES,-3.153101933051184,0.33
ADANIENSOL,2026-06-05,True,71.3,4.15,1.37,6,2026,6,NIFTY COMMODITIES,-4.063400742376477,0.55
ADANIENT,2026-07-01,True,65.9,2.85,1.64,7,2026,6,NIFTY METAL,-0.6482153585315564,1.13
AUROPHARMA,2026-07-03,True,70.8,2.47,1.34,7,2026,4,NIFTY MIDSML HLTH,-2.4679004673012206,0.41
PNBHOUSING,2026-07-10,True,65.9,2.89,1.01,7,2026,4,NIFTY MS FIN SERV,-1.855157929284601,0.69
OFSS,2026-07-10,True,74.9,3.13,1.48,7,2026,7,NIFTY MS IT TELCM,-2.124156992859328,0.84
SUNPHARMA,2026-07-09,True,70.5,1.77,2.24,7,2026,13,NIFTY PHARMA,-0.3909094156519965,0.81
TORNTPHARM,2026-07-20,True,65.3,2.86,1.07,7,2026,8,NIFTY PHARMA,-1.4829210185042685,0.51
SUNPHARMA,2026-07-27,True,65.7,1.61,2.48,7,2026,4,NIFTY PHARMA,-0.1826617700774413,2.31
KALYANKJIL,2026-07-28,False,77.1,4.2,0.8,7,2026,6,NIFTY CONSR DURBL,0.1457253227430621,1.59
FEDERALBNK,2026-07-17,False,74.4,2.29,5.17,7,2026,18,NIFTY MS FIN SERV,4.455587392550142,2.84
DIVISLAB,2026-07-27,False,69.2,2.07,1.25,7,2026,8,NIFTY PHARMA,13.10140930573278,7.61
SONACOMS,2026-07-30,False,79.6,2.83,2.61,7,2026,7,NIFTY AUTO,3.8082747575098,2.82
HAL,2026-08-06,True,76.0,2.06,5.66,8,2026,6,NIFTY IND DEFENCE,-1.842710942446646,1.33
