symbol,signal_date,rsi,rsi_gt_58,vol_gt_sma20,vol_gt_sma50,ret_pct
OFSS,2024-12-02,62.330572516548386,True,True,False,-5.493704805259291
ITC,2025-01-30,54.698249568444204,False,True,True,5.21856508582581
WIPRO,2025-02-03,59.40624556141964,True,False,True,-4.320171941627294
SRF,2025-02-20,57.1362128042424,False,False,False,-1.3015807584151218
SRF,2025-03-03,57.51842072716076,False,False,False,4.905305504237778
INDIGO,2025-03-04,63.612864592947375,True,True,False,7.917943334866706
SBICARD,2025-02-12,62.73108438935348,True,True,True,6.058531784636378
MANAPPURAM,2025-04-17,58.51384880736005,True,False,False,-1.8005720433204808
MAZDOCK,2025-04-28,61.349550233257965,True,True,True,11.607145404467476
MANAPPURAM,2025-04-28,57.9329956122269,False,False,False,-2.083769737464103
INDIGO,2025-05-02,58.668399685629886,True,False,False,-2.2055289630344754
BAJFINANCE,2025-05-07,52.44260203773323,False,False,False,-0.8787593523385206
MAZDOCK,2025-05-09,58.092346479161364,True,True,True,6.791875538667136
BAJAJFINSV,2025-05-15,55.40507995410708,False,True,True,-1.9659737226058185
MANAPPURAM,2025-05-22,52.72691453903395,False,False,False,2.175416498529969
GODFRYPHLP,2025-05-30,59.483197311377985,True,True,True,-3.6224922278824345
BEL,2025-06-13,69.86640880727667,True,True,True,5.972819783878203
CDSL,2025-06-20,60.99428313863877,True,False,False,3.4881817816109884
PNBHOUSING,2025-07-07,54.362956997211725,False,False,False,-1.0053237372231516
BAJFINANCE,2025-07-08,51.46809055352251,False,False,False,-0.7490669912602277
ABCAPITAL,2025-07-21,58.875112124014514,True,False,False,-1.375960237974172
360ONE,2025-06-13,71.34968226158557,True,True,True,-8.28932783917905
MUTHOOTFIN,2025-08-04,58.33170997559351,True,True,True,-1.5250648392035715
ETERNAL,2025-09-01,63.59904247091616,True,False,False,5.112375807566116
LTF,2025-09-29,64.1869766884601,True,True,True,6.252860741910404
EICHERMOT,2025-10-10,62.81834308387653,True,False,False,-1.244603031789393
ABCAPITAL,2025-10-13,57.10526670603404,False,True,True,4.074511724566521
MARUTI,2025-10-10,68.85497809719394,True,False,False,-2.427175302461937
NATIONALUM,2025-11-07,59.65225699695207,True,True,True,4.3016165361158265
MUTHOOTFIN,2025-11-07,59.35852461815303,True,False,False,4.077045475063867
IDFCFIRSTB,2025-11-07,69.38924220257394,True,True,True,-3.609596472462795
BANKBARODA,2025-11-14,64.28166003709288,True,False,False,-2.437468276275867
LTF,2025-11-24,60.33572345117017,True,False,False,4.374271120471707
ABCAPITAL,2025-11-24,60.18237797007051,True,False,False,3.1851679670026334
BANKBARODA,2025-12-17,52.83525110424189,False,True,True,-1.0062282016298552
CUMMINSIND,2025-12-29,48.0770362915136,False,True,False,-0.564151442785632
SBIN,2025-12-30,56.1014442640215,False,True,True,2.211858046105042
BANKBARODA,2025-12-30,57.22213263939539,False,True,True,3.2649984453008374
M&M,2025-12-30,52.694057182061925,False,True,False,3.3519629998446154
APLAPOLLO,2026-01-14,62.58856555118295,True,True,True,-2.6197024660063906
ASHOKLEY,2026-01-19,68.24765690193935,True,False,False,-2.6557786419674434
INDIANB,2026-02-16,55.07494969833923,False,False,False,3.101273005376104
BANKINDIA,2026-02-16,57.62526366099457,False,False,False,4.7054842534812735
UNIONBANK,2026-02-16,63.73309110933219,True,False,False,7.074183814055401
ASHOKLEY,2026-02-20,62.4545291069843,True,False,False,-2.771830883984283
TORNTPHARM,2026-03-09,64.43397254145714,True,True,True,-2.191166249894083
BSE,2026-03-16,54.36982303072402,False,False,False,-3.503307283607593
JSWENERGY,2026-03-12,63.92079058745397,True,True,True,-7.84797061157263
ONGC,2026-03-19,52.01941962518929,False,True,True,-1.4919805342765269
COALINDIA,2026-05-11,54.43882909729639,False,False,False,-0.9856810505066926
AUROPHARMA,2026-05-05,64.0592486971685,True,True,True,5.985039452937069
OFSS,2026-05-15,64.34389951838509,True,False,True,5.458683333213021
NAM-INDIA,2026-05-20,62.124485205045744,True,False,False,-3.969049177035544
CGPOWER,2026-05-05,65.72501250454278,True,True,True,8.450299569591646
CUMMINSIND,2026-05-20,60.65270831607437,True,True,False,5.585335713660866
HINDALCO,2026-05-20,60.425017473081404,True,True,True,6.259739349644655
HINDZINC,2026-05-26,60.992058303762136,True,True,True,-2.636109042770751
RBLBANK,2026-04-28,55.22980114644119,False,True,True,8.292336769270992
ADANIPOWER,2026-06-18,56.183702524588384,False,True,True,-3.534155611221545
LAURUSLABS,2026-06-19,63.83960135049657,True,True,True,6.352240625618943
ADANIENSOL,2026-07-01,57.16270704514561,False,False,False,4.718324855531475
