symbol,entry_date,exit_date,ret_pct,r_multiple_reached,reached_1R,reached_1_5R,reached_2R
ITC,2023-12-15,2023-12-21,-2.8856130217905007,0.08188294378281297,False,False,False
GLENMARK,2023-11-24,2024-01-02,12.28752210771491,4.875151896750057,True,True,True
AMBER,2024-01-01,2024-01-02,-2.507578446909664,0.0,False,False,False
MCX,2024-01-04,2024-01-05,-2.077771895199587,0.5983606371007029,False,False,False
CUMMINSIND,2024-01-03,2024-01-09,4.854017683371215,2.004103291968876,True,True,True
SBILIFE,2024-01-15,2024-01-16,-1.9554979440969733,0.023077283119574504,False,False,False
CUMMINSIND,2024-01-09,2024-01-18,-2.5526312571185983,1.5947666589616751,True,True,False
RECLTD,2024-01-01,2024-01-20,9.033138119785722,4.61392595731068,True,True,True
RECLTD,2024-01-20,2024-01-23,-6.464737991266379,0.8105780434672478,False,False,False
SIEMENS,2024-01-03,2024-01-29,4.571817782187448,2.579280222254469,True,True,True
TITAN,2024-01-25,2024-01-31,-2.192349446033681,1.1994315529817579,True,False,False
CANBK,2024-01-19,2024-02-01,9.428082217152989,2.0637942705688936,True,True,True
OIL,2024-01-19,2024-02-06,15.957493233932365,3.3164801640936545,True,True,True
PATANJALI,2024-02-12,2024-02-13,-3.575177068444957,0.04364220762461919,False,False,False
GRASIM,2024-02-12,2024-02-14,-6.615021002528043,0.07940001965658848,False,False,False
DIXON,2024-02-12,2024-02-19,4.926291290011808,2.565004028246546,True,True,True
ASHOKLEY,2024-02-05,2024-02-22,-4.635555555555548,1.3750820003027735,True,False,False
VEDL,2024-02-15,2024-02-26,-7.16918710657537,0.016654437129752172,False,False,False
SBILIFE,2024-02-23,2024-03-14,-3.3048526370370035,1.036775559976822,True,False,False
CIPLA,2024-02-23,2024-03-20,-2.8603198598497026,1.426421744841167,True,False,False
PIDILITIND,2024-03-21,2024-04-01,5.748457788641637,2.112255438379159,True,True,True
GLENMARK,2024-03-21,2024-04-08,9.11114273854814,2.4948112253950034,True,True,True
BAJAJ-AUTO,2024-04-12,2024-04-16,-2.077128037255749,0.5608820973900658,False,False,False
BHEL,2024-02-15,2024-05-02,25.252152214207246,2.3610138003711625,True,True,True
ABB,2024-04-30,2024-05-03,4.201538461538457,1.7737176632921134,True,True,False
FORTIS,2024-05-03,2024-05-06,5.788288288288279,2.712329327956442,True,True,True
HAL,2024-05-09,2024-05-16,11.834210951647538,3.2764428668659638,True,True,True
BAJAJ-AUTO,2024-05-14,2024-05-16,-2.167018316655067,0.3899017404945162,False,False,False
NMDC,2024-05-14,2024-05-21,9.571689789958594,2.289408717522521,True,True,True
MOTHERSON,2024-05-17,2024-05-21,3.926609793151825,1.7077162344857102,True,True,False
AMBUJACEM,2024-01-29,2024-05-24,14.339528105630794,1.8869496762253164,True,True,False
TIINDIA,2024-05-24,2024-05-29,-4.255799674090111,0.12644598917385572,False,False,False
OFSS,2024-05-13,2024-05-30,-2.778583142079527,1.66360980381625,True,True,False
NAUKRI,2024-05-21,2024-05-30,-6.2859735529406935,0.6349236127018868,False,False,False
ABCAPITAL,2024-05-17,2024-06-04,-2.0891077789160217,2.385498482999915,True,True,True
360ONE,2024-06-13,2024-06-19,1.7034313725490249,1.2307676691290483,True,False,False
MARICO,2024-06-19,2024-06-21,-1.9986283891547,0.28727835676780195,False,False,False
PFC,2024-06-12,2024-06-24,-3.423362550412101,1.2236569900454146,True,False,False
KEI,2024-06-28,2024-07-01,-2.2962406181015416,0.0,False,False,False
PHOENIXLTD,2024-06-06,2024-07-09,20.93528888320446,2.1692031095395437,True,True,True
SIEMENS,2024-07-11,2024-07-15,-4.39906353408338,0.0,False,False,False
SUPREMEIND,2024-07-01,2024-07-18,-4.263556840487548,1.2291130191173167,True,False,False
