symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
AUROPHARMA,2023-05-16,2023-05-18,641.45,608.8750369027897,362,stop,NIFTY MIDSML HLTH,-11792.136641190144,-5.07833238712454,2,True
OFSS,2023-05-12,2023-05-18,3119.0,3079.0,50,rebalance,NIFTY MS IT TELCM,-2000.0,-1.2824623276691205,6,True
ITC,2023-02-07,2023-05-19,307.75,339.5149258402821,515,stop,NIFTY FMCG,16358.936807745284,10.32166558579435,101,True
RVNL,2023-05-18,2023-05-19,120.85,116.2,1915,rebalance,,-8904.749999999984,-3.847745138601566,1,True
BDL,2023-05-18,2023-05-25,536.75,507.3338156466441,335,stop,NIFTY IND DEFENCE,-9854.421758374228,-5.480425589819449,7,True
GODREJCP,2023-05-12,2023-06-05,999.2,1052.2,173,rebalance,NIFTY FMCG,9169.0,5.30424339471578,24,True
ABCAPITAL,2023-05-18,2023-06-08,164.8,171.95,938,rebalance,NIFTY MS FIN SERV,6706.699999999979,4.338592233009697,21,True
VBL,2023-02-13,2023-06-12,256.8,310.7884303114764,926,stop,NIFTY FMCG,49993.28646842716,21.0235320527556,119,True
HINDUNILVR,2023-05-12,2023-06-12,2623.4,2643.45,60,rebalance,NIFTY FMCG,1202.9999999999836,0.7642753678432479,31,True
KPITTECH,2023-05-05,2023-06-14,884.55,1049.0280141409453,172,stop,NIFTY MS IT TELCM,28290.2184322426,18.594541195064764,40,True
INDHOTEL,2023-05-19,2023-06-15,372.35,393.45,447,rebalance,NIFTY IND TOURISM,9431.699999999984,5.666711427420434,27,True
BAJAJ-AUTO,2023-03-23,2023-06-19,3767.5,4487.908667881542,39,stop,NIFTY AUTO,28095.938047380136,19.121663381062824,88,True
PGEL,2023-06-05,2023-06-21,164.3,159.35,1108,rebalance,NIFTY CONSR DURBL,-5484.600000000019,-3.012781497261119,16,True
CHOLAFIN,2023-06-12,2023-06-26,1073.1,1068.468060474005,224,stop,NIFTY FINSEREXBNK,-1037.5544538228787,-0.4316409958060707,14,True
RVNL,2023-06-08,2023-07-10,125.3196401225115,122.25,1306,rebalance,,-4008.95000000002,-2.4494485617024164,32,True
GLENMARK,2023-05-25,2023-07-13,607.4,683.25,280,rebalance,NIFTY MIDSML HLTH,21238.000000000007,12.487652288442552,49,True
KPITTECH,2023-06-14,2023-07-21,1039.7,1001.5783563679116,173,stop,NIFTY MS IT TELCM,-6595.044348351316,-3.666600330103731,37,True
ITC,2023-05-19,2023-07-24,346.25,386.2398268767189,667,stop,NIFTY FMCG,26673.214526771502,11.549408484250945,66,True
COFORGE,2023-06-15,2023-07-28,916.5,934.5,191,rebalance,NIFTY MS IT TELCM,3438.0,1.9639934533551615,43,True
KEI,2023-05-08,2023-08-01,1986.9,2300.0,118,stop,NIFTY EV,36945.79999999999,15.75821631687553,85,True
HAL,2023-06-26,2023-08-02,1850.5,1859.35516210148,129,stop,NIFTY IND DEFENCE,1142.3159110908766,0.478528078977547,37,True
CHOLAFIN,2023-07-24,2023-08-02,1145.35,1084.5839983332091,224,stop,NIFTY FINSEREXBNK,-13611.584373361133,-5.305452627300888,9,True
BAJAJ-AUTO,2023-06-19,2023-08-02,4483.5,4712.5,39,rebalance,NIFTY AUTO,8931.0,5.107616817218696,44,True
BSE,2023-07-21,2023-08-16,245.98305084745763,278.9782326012668,708,stop,NIFTY MS FIN SERV,23360.588681696867,13.41359969320428,26,True
SHRIRAMFIN,2023-07-13,2023-08-16,357.8,359.2,534,rebalance,NIFTY FINSEREXBNK,747.5999999999879,0.3912800447177122,34,True
GLENMARK,2023-07-28,2023-08-21,798.75,761.654771682283,223,stop,NIFTY MIDSML HLTH,-8272.235914850888,-4.644160039776779,24,True
