symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,grade,pnl,ret_pct,holding_days
CONCOR,2023-10-17,2023-10-20,576.0,563.2213,353,stop,Pin Bar (Stopping Vol),A+,-4510.881099999985,-2.218524305555547,3
BHEL,2023-10-17,2023-10-20,132.0592648346833,126.746,1544,stop,Bullish Engulfing,A,-8203.680904751007,-4.023394224808563,3
MOTILALOFS,2023-10-30,2023-11-01,244.76094927233544,271.4104478170063,810,target,Morning Star,A,21586.093821183385,10.887969924899688,2
MCX,2023-10-27,2023-11-03,452.8135662209638,496.1686986628914,435,target,Pin Bar (Stopping Vol),A,18859.482612238502,9.574609878355812,7
HDFCAMC,2023-11-15,2023-11-17,1343.0626628656514,1407.2,157,target,Pin Bar (Stopping Vol),A+,10069.561930092734,4.775453812222041,2
MCX,2023-11-12,2023-11-28,533.1193128713886,629.3019386141658,387,target,Bullish Engulfing,A,37222.67616245477,18.041482163671052,16
LICHSGFIN,2023-08-07,2023-12-07,426.5098619913289,518.0555859739866,497,target,Bullish Engulfing,A,45498.22481938088,21.4639172832348,122
INFY,2023-11-29,2023-12-15,1420.4,1486.1,155,target,Pin Bar (Stopping Vol),A,10183.49999999997,4.625457617572493,16
BLUESTARCO,2023-11-15,2023-12-20,969.7940488765671,934.1778999999999,217,stop,Pin Bar (Stopping Vol),A,-7728.7043062150815,-3.6725476834824633,35
ICICIGI,2023-12-14,2023-12-20,1465.0,1426.0921,155,stop,Pin Bar (Stopping Vol),A+,-6030.724499999988,-2.655829351535832,6
ONGC,2023-12-15,2023-12-20,183.65,190.35633696717116,1234,target,Pin Bar (Stopping Vol),A+,8275.619817489203,3.6516945097583298,5
ASIANPAINT,2023-12-12,2023-12-26,3249.868305396116,3391.3469161883477,69,target,Pin Bar (Stopping Vol),A+,9762.024144663998,4.35336442886991,14
JINDALSTEL,2023-12-26,2024-01-18,736.0729800106961,705.7856,307,stop,Morning Star,A,-9298.225663283702,-4.114725147261344,23
RECLTD,2024-01-20,2024-01-23,458.0,428.3915,501,stop,Morning Star,A+,-14833.858499999997,-6.464737991266379,3
CUMMINSIND,2023-12-26,2024-01-29,2030.8683379394288,2245.3150138182864,111,target,Morning Star,A+,23803.581022553193,10.559358865008495,34
TITAN,2023-12-26,2024-01-29,3657.7254329957777,3866.3184989873325,61,target,Morning Star,A,12724.177025484842,5.70280820178215,34
GAIL,2023-12-26,2024-02-02,138.4511820638714,162.44038619161427,1633,target,Morning Star,A+,39174.37034060408,17.32683229578782,38
