date,equity,open_positions,holdings_cost_basis,trades_closed_today,wins_today,losses_today,daily_realized_pnl,cumulative_realized_pnl,closed_trade_detail
2026-08-05,1116975.11,0,0.0,0,0,0,0.0,105601.46,
2026-08-06,1115654.31,0,0.0,0,0,0,0.0,105601.46,
2026-08-07,1115131.61,0,0.0,0,0,0,0.0,105601.46,
2026-08-10,1119686.31,0,0.0,0,0,0,0.0,105601.46,
2026-08-11,1117041.31,0,0.0,0,0,0,0.0,105601.46,
2026-08-12,1122202.91,0,0.0,0,0,0,0.0,105601.46,
2026-08-13,1127525.61,0,0.0,0,0,0,0.0,105601.46,
2026-08-14,1121942.81,0,0.0,0,0,0,0.0,105601.46,
2026-08-17,1126944.91,0,0.0,0,0,0,0.0,105601.46,
2026-08-18,1133185.31,0,0.0,0,0,0,0.0,105601.46,
