symbol,entry_date,ret_pct,win,score,rsi,rvol,er14,risk_pct,holding_days,wick_ratio,body_ratio
BSE,2025-01-03,-3.102284219248308,False,80.0,58.83707910561292,0.35149939979647166,0.13259668508287292,3.102284219248309,3,61.702127659574465,13.829787234042554
BSE,2025-01-23,-4.2610969936310745,False,85.0,58.644135209919824,1.0151155523542246,0.14038876889848811,4.261096993631069,4,73.42657342657343,19.58041958041958
BIOCON,2025-01-23,-3.6411108440796536,False,75.0,57.66796016343711,0.43629606647367647,0.11736716891356079,3.6411108440796562,4,64.89795918367338,20.408163265306122
BAJAJFINSV,2025-02-03,19.24544327083748,True,90.0,57.58960152691996,1.6231849268236533,0.10895883777239701,9.622721635418744,80,79.75460122699386,4.294478527607362
ICICIBANK,2025-05-23,-1.5798123062066516,False,85.0,59.06706082690853,0.6920331242053119,0.05097214923804431,1.5798123062066567,18,75.99999999999974,5.714285714285714
360ONE,2025-07-17,-2.301304774546153,False,85.0,58.46919059989434,0.573756294918748,0.16152897657213316,2.301304774546157,5,74.05660377358468,12.7358490566041
CUMMINSIND,2025-08-05,4.71965623418118,True,80.0,59.198035118564654,0.9607535399089937,0.024414799899319942,2.359828117090589,3,81.11587982832647,2.7181688125888894
MUTHOOTFIN,2025-06-30,-3.2717537236147565,False,100.0,64.7383817990706,2.192329986992649,0.12290502793296029,3.2717537236147605,43,74.72677595628409,9.972677595628689
MFSL,2025-08-12,6.6308987810869136,True,70.0,57.106745223437045,0.849763085386343,0.03058103975535171,2.641492351145701,6,77.58620689655183,12.64367816091982
POLYCAB,2025-09-12,-2.239055645302379,False,80.0,60.61722283718792,0.8917632247406897,0.259581881533101,2.2390556453023756,3,62.5,4.779411764705882
CUMMINSIND,2025-09-04,6.254624551442145,True,80.0,64.28831120130914,0.7246310380223636,0.254416243654822,3.147620928174086,14,79.43925233644859,7.663551401868989
UNOMINDA,2025-10-01,-3.698770581796951,False,95.0,56.43621290547884,1.851398953356186,0.16384180790960495,3.6987705817969516,8,71.66276346604225,13.583138173302059
POLYCAB,2025-10-06,3.6021141301016524,True,85.0,56.0005695759622,0.5924345970440235,0.14168797953964193,1.8010570650508269,4,76.30331753554502,2.843601895734597
NMDC,2025-10-14,-1.7055699233246455,False,80.0,56.80930793744011,0.5040523028875388,0.02337228714524213,1.7055699233246422,1,64.94845360824849,14.432989690721726
PNB,2025-11-12,-2.483725850630991,False,85.0,61.31203448148346,0.7208792434911427,0.24159797083069048,2.4837258506309885,21,76.2096774193546,13.306451612903786
MUTHOOTFIN,2025-12-23,-1.678453898278076,False,80.0,59.56684235805108,0.7609581787029742,0.020250723240115683,1.6784538982780757,6,63.54378818737245,18.737270875764338
BANKBARODA,2025-11-12,6.3324148838408645,True,80.0,65.01133871781607,0.8650480454302321,0.2915360501567391,3.16620744192043,54,61.68831168831132,20.12987012987016
NMDC,2026-01-14,-2.1296933618621283,False,80.0,55.09947591467942,0.5070797396436462,0.034238488783943144,2.12969336186213,5,74.43609022556389,3.0075187969918544
BANKBARODA,2026-01-14,-2.0663556376002257,False,80.0,58.507142112191566,0.7276872060400084,0.2282471626733905,2.066355637600224,7,63.26530612244857,24.48979591836839
APLAPOLLO,2026-01-13,7.27605822174533,True,80.0,58.09929155329329,0.9598002539579388,0.13691850874298916,3.638029110872664,10,69.41747572815554,24.110032362459343
BAJAJ-AUTO,2026-01-30,-1.9840274201322727,False,95.0,56.206969136194466,1.0750546592770713,0.22424242424242424,1.9840274201322685,2,61.71617161716172,24.422442244224424
SBIN,2026-02-09,0.943747180317267,True,80.0,59.877728213191695,0.6804921174012241,0.1288541187298667,2.5298237318347137,1,68.14159292035465,15.92920353982267
UNIONBANK,2026-02-09,4.704749530179941,True,85.0,60.15432719167745,0.42917855941639077,0.016504854368932162,2.8480338575374726,8,71.21588089330034,15.136476426799343
MCX,2026-02-27,-4.267386011522911,False,80.0,55.81207771213597,0.5479982623811757,0.13248945147679345,4.267386011522909,24,87.18232044198905,2.7624309392265194
LUPIN,2026-03-25,-3.317759439666723,False,85.0,57.26550855758744,1.2828278846931171,0.06801517067003793,3.3177594396667183,7,65.05847953216366,9.94152046783651
POLYCAB,2026-05-04,6.526744512804861,True,85.0,59.06755685249058,0.9425254476267692,0.2819938392607113,2.8464487153138665,3,72.53886010362694,11.398963730569948
AUROPHARMA,2026-04-06,11.74975816785908,True,80.0,64.38045135989825,1.1149888932740815,0.12440809298321166,5.915757083406377,32,92.85714285714282,2.472527472527404
CGPOWER,2026-06-15,4.977952487890169,True,85.0,59.7859885881653,0.7135551911281934,0.22113858017691082,2.8380910419655274,16,78.83720930232579,21.162790697674208
ADANIGREEN,2026-06-15,5.918966822140881,True,80.0,60.194342545316104,0.44658966183973536,0.2508130081300812,3.083390816610884,29,65.60846560846556,15.079365079365218
APOLLOHOSP,2026-07-28,-1.6574847897326883,False,85.0,57.11975567047897,0.486280400618561,0.008327994875080076,1.6574847897326883,14,61.80257510729614,23.605150214592275
