symbol,entry_date,ret_pct,win,pattern,score,grade,rrr,rvol,holding_days
CUMMINSIND,2024-03-07,-3.604545565044792,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.44143575369935095,6
CDSL,2023-11-17,-8.192789013398238,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.6725376636471869,118
SIEMENS,2024-03-18,-3.3439338353896897,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.9467770036487464,1
ABB,2024-03-15,5.853806456437338,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.40424428209502233,7
BEL,2024-03-22,8.729970126301279,True,Morning Star,80.0,A,2.0,1.2895217960399281,11
ZYDUSLIFE,2024-03-21,-4.301349758312522,False,Pin Bar (Stopping Vol),95.0,A+,2.0000000000000027,1.5986138689360547,25
OFSS,2024-03-18,-7.75491744609671,False,Bullish Engulfing,85.0,A+,2.0000000000000013,1.6033713476400975,29
BAJAJ-AUTO,2024-04-12,-2.077128037255749,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.5696619021770833,4
BHEL,2024-02-15,25.252152214207246,True,Morning Star,85.0,A+,2.0,1.2190175326698307,77
ABB,2024-04-30,4.201538461538457,True,Pin Bar (Stopping Vol),80.0,A,2.022772708578751,0.44337672707884507,3
GODREJPROP,2024-05-06,4.171641791044789,True,Pin Bar (Stopping Vol),95.0,A+,1.779317514966577,2.329931499928128,1
HAL,2024-05-09,11.834210951647538,True,Bullish Engulfing,75.0,A,2.0,1.0162199301679946,7
BAJAJ-AUTO,2024-05-14,-2.167018316655067,False,Pin Bar (Stopping Vol),75.0,A,1.5769044533870284,0.8458031722497418,2
MOTILALOFS,2024-05-16,-4.153405201916483,False,Pin Bar (Stopping Vol),80.0,A,5.485919227843655,0.45915717343556756,6
PRESTIGE,2024-05-14,11.08831166710711,True,Pin Bar (Stopping Vol),85.0,A+,2.0,1.1427603409221454,9
GODREJPROP,2024-05-27,-5.316492358125247,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.7741836724415069,2
BAJAJ-AUTO,2024-05-29,2.4050932687561533,True,Pin Bar (Stopping Vol),75.0,A,1.5223242106173815,0.6002323840399355,5
TRENT,2024-05-14,-4.142064416206326,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.5488371590989208,21
BHEL,2024-05-14,-7.344499651686364,False,Morning Star,75.0,A,2.0,0.9914377295876676,21
PNB,2024-06-03,-6.814714879598394,False,Pin Bar (Stopping Vol),95.0,A+,2.731287209344487,1.536221732660211,1
GVT&D,2024-06-03,-10.425595967374946,False,Morning Star,95.0,A+,2.0,2.2469775613066654,3
OBEROIRLTY,2024-06-25,-4.340885780885784,False,Bullish Engulfing,80.0,A,2.000000000000003,1.2519194023101239,1
PHOENIXLTD,2024-06-06,20.93528888320446,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.4933992856558589,33
KEI,2024-07-02,-2.763913427413045,False,Pin Bar (Stopping Vol),80.0,A,4.186354997931252,0.5271563302357352,16
GVT&D,2024-07-02,-8.929654051689118,False,Bullish Engulfing,70.0,A,2.0,0.640742967577525,20
BAJAJ-AUTO,2024-06-05,-6.444503444244775,False,Pin Bar (Stopping Vol),95.0,A+,2.0,1.7229268629500545,48
BLUESTARCO,2024-07-09,-12.0928104491273,False,Bullish Engulfing,85.0,A+,2.000000000000001,7.8839641995446215,14
PETRONET,2024-07-23,-2.9532869165728948,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.2396732365742988,1
PGEL,2024-07-23,18.84606082346698,True,Bullish Engulfing,70.0,A,2.0,0.48517774372811145,2
OFSS,2024-07-24,-6.788377562272974,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.7921696413504677,9
CROMPTON,2024-07-25,-4.7392082833209725,False,Bullish Engulfing,85.0,A+,2.0,1.8815003781894934,11
ADANIPOWER,2024-06-06,-18.660724509864124,False,Pin Bar (Stopping Vol),95.0,A+,2.0,2.348819046619855,67
NAUKRI,2024-07-24,8.983385203995198,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.6378389501003939,35
BEL,2024-08-21,-2.708193420871141,False,Pin Bar (Stopping Vol),75.0,A,4.233414301742031,0.49832679323807444,8
UNOMINDA,2024-08-29,9.42992235341984,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.8761740689211382,4
360ONE,2024-08-19,-6.295694700697252,False,Morning Star,95.0,A+,1.7598909055988636,1.5453779133947887,38
LUPIN,2024-09-26,-2.003707529499821,False,Pin Bar (Stopping Vol),85.0,A+,1.7466245169532895,1.0700248138916921,1
HAVELLS,2024-09-30,-2.192963386500457,False,Pin Bar (Stopping Vol),85.0,A+,2.000000000000005,1.4589019755808368,1
AMBER,2024-10-01,13.020397952205176,True,Morning Star,75.0,A,2.0,0.7662782890418105,15
TECHM,2024-10-21,-5.882200802251091,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.2579437374854165,10
HCLTECH,2024-10-25,-4.234808029369375,False,Bullish Engulfing,70.0,A,2.0,0.8976471562983847,6
MPHASIS,2024-10-30,-2.861944661083904,False,Pin Bar (Stopping Vol),80.0,A,1.5613299906283176,0.24561569695980562,1
TECHM,2024-11-19,3.8742405245712375,True,Bullish Engulfing,70.0,A,1.8030076854298323,0.8843651972893471,6
AMBER,2024-11-19,-5.174838888057531,False,Bullish Engulfing,70.0,A,2.259517487445286,0.2811263316521147,9
COFORGE,2024-10-24,19.596954225855924,True,Morning Star,95.0,A+,2.0,5.803068116777106,49
OBEROIRLTY,2024-12-16,7.19183471439091,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.35801081889186565,1
HDFCAMC,2024-12-16,-3.561204970812193,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.46747416669085573,2
TECHM,2024-12-12,-1.513272809919031,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.7118354814430995,7
AMBER,2024-12-19,12.060054110365147,True,Pin Bar (Stopping Vol),70.0,A,5.183821783359836,0.5166885793421274,4
CAMS,2024-12-20,-2.3656216755801984,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.41175439354093135,3
BSE,2025-01-03,-3.102284219248308,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.35149939979647166,3
360ONE,2024-12-26,-3.642011841629644,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.4031678504655974,12
OFSS,2024-12-03,-5.657913065909959,False,Bullish Engulfing,80.0,A,2.0,1.0337847008901144,36
DIXON,2025-01-02,-3.5651152645130746,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.6012509607466135,6
DIVISLAB,2025-01-20,-1.5893666104262905,False,Pin Bar (Stopping Vol),70.0,A,3.1096983753586187,0.41744550637294653,1
BSE,2025-01-23,-4.2610969936310745,False,Pin Bar (Stopping Vol),85.0,A+,2.0000000000000027,1.0151155523542246,4
BIOCON,2025-01-23,-3.6411108440796536,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.43629606647367647,4
BHARTIARTL,2025-01-16,-1.8057502856613337,False,Pin Bar (Stopping Vol),70.0,A,2.5444404326162817,0.7151653044381256,15
TORNTPHARM,2025-01-29,-2.992048035456807,False,Pin Bar (Stopping Vol),75.0,A,1.6289678989398781,1.2568202006004405,2
ITC,2025-01-31,5.21856508582581,True,Bullish Engulfing,70.0,A,2.785977226797847,1.4249237664633752,1
MUTHOOTFIN,2025-02-05,-5.07514417423004,False,Morning Star,85.0,A+,2.0,1.3905813739063986,6
WIPRO,2025-02-04,-5.753387096774199,False,Bullish Engulfing,70.0,A,2.0,0.967541984080481,20
KOTAKBANK,2025-02-04,5.562973473641475,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.2626917416135625,42
INDIGO,2025-03-05,9.317188758682216,True,Bullish Engulfing,75.0,A,2.0,1.033872576744738,15
SBICARD,2025-02-13,-6.677927272727269,False,Bullish Engulfing,80.0,A,2.0,1.1576967142133618,53
MAXHEALTH,2025-04-03,-2.3424609792616846,False,Pin Bar (Stopping Vol),85.0,A+,3.7747211013136006,0.36586416532009663,4
MAZDOCK,2025-04-03,-4.050649093234082,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.46533409402630665,4
BAJAJFINSV,2025-02-03,19.24544327083748,True,Pin Bar (Stopping Vol),95.0,A+,2.0,1.6231849268236533,80
MANAPPURAM,2025-04-21,-2.7288243786170785,False,Bullish Engulfing,75.0,A,2.6049551900120256,0.349089069430689,4
MAZDOCK,2025-04-29,13.289177984617506,True,Bullish Engulfing,80.0,A,2.0,1.392471006195698,15
