symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
MARICO,2022-05-04,2022-05-06,519.55,503.65,246,closed below 200 EMA,-3911.399999999994,-3.060340679434126,2
PGEL,2022-05-05,2022-05-06,77.2,74.1,1651,closed below 200 EMA,-5118.100000000014,-4.0155440414507915,1
NHPC,2022-04-27,2022-05-10,32.9,31.95,3969,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3770.549999999997,-2.8875379939209744,13
ITC,2022-05-04,2022-05-10,214.2,214.2,598,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,0.0,0.0,6
ADANIGREEN,2022-05-04,2022-05-10,2671.35,2486.7,48,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8863.200000000004,-6.912235386602283,6
PHOENIXLTD,2022-05-09,2022-05-10,529.0,508.5,240,closed below 200 EMA,-4920.0,-3.875236294896034,1
ADANIENSOL,2022-05-09,2022-05-10,2703.45,2482.55,46,closed below 200 EMA,-10161.399999999983,-8.171040707244437,1
TIINDIA,2022-05-09,2022-05-11,1811.75,1688.7167268648557,70,stop,-8612.329119460102,-6.790852663730885,2
COLPAL,2022-05-10,2022-05-11,1589.9,1576.0,77,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1070.300000000007,-0.8742688219384953,1
ADANIPOWER,2022-05-10,2022-05-11,53.5,51.05,2315,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5671.750000000006,-4.579439252336459,1
NTPC,2022-05-10,2022-05-11,155.45,152.55,796,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2308.399999999982,-1.865551624316486,1
PHOENIXLTD,2022-05-11,2022-05-12,527.55,516.5,230,closed below 200 EMA,-2541.4999999999895,-2.0945881906928143,1
POWERGRID,2022-04-29,2022-05-18,167.25,167.35,778,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,77.79999999999558,0.05979073243647104,19
VBL,2022-05-09,2022-05-19,141.2,141.5,899,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,269.7000000000102,0.21246458923513956,10
VBL,2022-05-23,2022-05-25,143.9,141.8,863,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1812.2999999999952,-1.459346768589298,2
KEI,2022-05-24,2022-05-25,1193.5,1114.0,103,closed below 200 EMA,-8188.5,-6.661080854629242,1
SUNPHARMA,2022-05-26,2022-05-30,899.95,888.3,136,closed below 200 EMA,-1584.4000000000124,-1.294516362020126,4
ADANIPOWER,2022-05-13,2022-06-02,50.95,59.05,2386,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,19326.599999999988,15.897939156035324,20
EICHERMOT,2022-06-03,2022-06-06,2685.25,2653.1,45,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1446.750000000004,-1.1972814449306424,3
CONCOR,2022-06-06,2022-06-07,509.1,500.95,240,closed below 200 EMA,-1956.0000000000082,-1.6008642702808995,1
SIEMENS,2022-06-06,2022-06-07,1800.15,1793.95,68,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-421.6000000000031,-0.3444157431325201,1
ADANIPOWER,2022-06-06,2022-06-07,59.65,58.3,2056,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2775.600000000003,-2.2632020117351215,1
ITC,2022-05-26,2022-06-08,219.9,220.95,557,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,584.8499999999905,0.4774897680764001,13
ICICIBANK,2022-06-07,2022-06-08,735.25,729.5,166,closed below 200 EMA,-954.5,-0.7820469228153715,1
PHOENIXLTD,2022-06-06,2022-06-09,554.6,552.4,221,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-486.20000000001005,-0.39668229354490325,3
INDIANB,2022-06-07,2022-06-09,155.0,154.75,787,dropped out of top 20 rank (now #22 of 26),-196.75,-0.1612903225806428,2
