symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
HEROMOTOCO,2023-07-21,2023-07-31,2926.8,3023.000000000001,65,target,Pin Bar,9.0,6253.000000000047,3.2868662019953865,10
OBEROIRLTY,2023-08-02,2023-08-14,1113.8999999999999,1065.95,174,stop,Pin Bar,9.0,-8343.299999999968,-4.304695215010312,12
RECLTD,2023-09-04,2023-09-08,240.85000000000002,261.55000000000007,800,target,Pin Bar,9.0,16560.000000000036,8.594560930039453,4
SHRIRAMFIN,2023-09-08,2023-09-11,382.0,392.40000000000003,513,target,Pin Bar,9.0,5335.200000000017,2.7225130890052407,3
LICHSGFIN,2023-10-10,2023-10-23,468.35,457.15,420,stop,Pin Bar,9.0,-4704.000000000019,-2.391373972456501,13
MCX,2023-10-27,2023-11-03,451.05,489.25000000000006,434,target,Pin Bar,9.0,16578.80000000002,8.46912759117615,7
POLYCAB,2023-11-15,2023-11-17,5200.0,5302.6,38,target,Pin Bar,8.0,3898.800000000014,1.973076923076933,2
UNIONBANK,2023-11-20,2023-11-23,99.45,95.92,2002,stop,Pin Bar,9.0,-7067.060000000002,-3.5495223730517833,3
CONCOR,2024-01-11,2024-01-17,716.0,694.5,279,stop,Pin Bar,9.0,-5998.5,-3.00279329608939,6
HAL,2024-01-19,2024-01-24,2985.0,2845.6499999999996,66,stop,Pin Bar,9.0,-9197.100000000024,-4.668341708542723,5
GODFRYPHLP,2024-02-12,2024-02-15,798.05,870.2499999999998,246,target,Pin Bar,9.0,17761.199999999953,9.047052189712401,3
OIL,2024-02-14,2024-02-15,317.6,361.5000000000001,628,target,Pin Bar,9.0,27569.200000000055,13.822418136020186,1
HAL,2024-03-01,2024-03-07,3105.05,3287.050000000001,66,target,Pin Bar,9.0,12012.00000000006,5.861419300816451,6
CGPOWER,2024-03-07,2024-03-11,470.05,450.3,441,stop,Pin Bar,8.0,-8709.75,-4.201680672268903,4
CUMMINSIND,2024-03-07,2024-03-13,2800.0,2709.0,74,stop,Pin Bar,9.0,-6734.0,-3.2499999999999973,6
CDSL,2023-11-17,2024-03-14,901.55,832.45,222,stop,Pin Bar,9.0,-15340.199999999979,-7.664577671787464,118
BAJAJ-AUTO,2024-04-12,2024-04-16,8826.05,8681.45,22,stop,Pin Bar,9.0,-3181.199999999968,-1.6383319831634546,4
OIL,2024-05-03,2024-05-10,422.45,403.3,474,stop,Pin Bar,9.0,-9077.09999999999,-4.533080837968983,7
PRESTIGE,2024-05-14,2024-05-23,1499.8,1645.5999999999997,132,target,Pin Bar,9.0,19245.599999999962,9.721296172823024,9
PETRONET,2024-05-23,2024-05-27,297.2,289.95,681,stop,Pin Bar,9.0,-4937.25,-2.439434724091516,4
PHOENIXLTD,2024-07-03,2024-07-04,1799.25,1878.85,112,target,Pin Bar,9.0,8915.19999999999,4.424065582881753,1
M&M,2024-07-08,2024-07-09,2886.05,2839.95,70,stop,Pin Bar,9.0,-3227.0000000000255,-1.597338923442082,1
SIEMENS,2024-07-11,2024-07-15,6044.0,5789.65,33,stop,Pin Bar,9.0,-8393.550000000012,-4.208305757776309,4
GVT&D,2024-07-12,2024-07-16,1698.05,1611.95,118,stop,Pin Bar,9.0,-10159.799999999988,-5.070522069432581,4
MARUTI,2024-07-19,2024-07-22,12680.05,12462.95,15,stop,Pin Bar,9.0,-3256.499999999978,-1.7121383590758543,3
BAJAJ-AUTO,2024-06-05,2024-07-23,9141.05,8590.45,22,stop,Pin Bar,9.0,-12113.199999999968,-6.023378058319329,48
PETRONET,2024-07-11,2024-07-25,320.05,346.65000000000003,632,target,Pin Bar,9.0,16811.200000000015,8.311201374785204,14
HAVELLS,2024-09-30,2024-10-01,2037.05,2000.5,97,stop,Pin Bar,9.0,-3545.349999999996,-1.7942613092462145,1
TECHM,2024-10-21,2024-10-31,1670.3,1575.15,118,stop,Pin Bar,9.0,-11227.699999999984,-5.696581452433691,10
