symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
GVT&D,2024-05-23,2024-06-05,1362.85,1280.4,262,dropped out of top 20 rank (now #21 of 49),-21601.89999999995,-6.049822064056931,13
BDL,2024-06-04,2024-06-05,1436.85,1305.25,233,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-30662.799999999977,-9.158924035215922,1
POLYCAB,2024-06-04,2024-06-07,6456.2,6846.45,51,dropped out of top 20 rank (now #23 of 94),19902.75,6.044577305535759,3
CROMPTON,2024-06-05,2024-06-07,402.25,397.35,833,dropped out of top 20 rank (now #22 of 94),-4081.699999999981,-1.2181479179614652,2
HEROMOTOCO,2024-06-04,2024-06-13,5180.7,5673.65,64,dropped out of top 20 rank (now #23 of 139),31548.79999999999,9.515123438917517,9
SUPREMEIND,2024-06-05,2024-06-21,5527.1,5864.55,60,dropped out of top 20 rank (now #26 of 123),20246.99999999999,6.105371713918695,16
OBEROIRLTY,2024-06-04,2024-06-25,1745.25,1829.3,191,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,16053.549999999992,4.815928950007153,21
M&M,2024-06-04,2024-07-05,2572.9,2880.6,130,dropped out of top 20 rank (now #23 of 122),40000.99999999998,11.959267752341706,31
UNOMINDA,2024-06-04,2024-07-10,844.75,1060.25,396,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,85338.0,25.5105060668837,36
PHOENIXLTD,2024-06-04,2024-07-12,1628.85,1951.4,205,dropped out of top 20 rank (now #28 of 115),66122.75000000004,19.802314516376597,38
HAL,2024-06-13,2024-07-16,5099.7,5329.4,70,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,16078.999999999987,4.504186520775733,33
BEL,2024-06-21,2024-07-18,304.95,313.55,1216,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,10457.600000000028,2.820134448270206,27
BDL,2024-06-25,2024-07-18,1545.35,1546.45,242,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,266.200000000033,0.07118128579286509,23
NBCC,2024-07-12,2024-07-19,126.53,114.33790271811878,3419,stop,-41684.78060675188,-9.635736411824247,7
PGEL,2024-07-05,2024-07-19,368.8,350.3,1151,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-21293.5,-5.016268980477223,14
MOTHERSON,2024-07-10,2024-07-19,133.67,128.13,3220,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-17838.799999999974,-4.144535049001263,9
KAYNES,2024-07-18,2024-07-19,4076.6,3901.85,100,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-17475.0,-4.286660452337731,1
OIL,2024-07-19,2024-07-22,571.1,555.25,703,dropped out of top 20 rank (now #22 of 88),-11142.550000000016,-2.7753458238487183,3
OFSS,2024-07-16,2024-07-23,10448.5,9779.395777853806,40,stop,-26764.168885847757,-6.403830426819102,7
PETRONET,2024-07-19,2024-07-23,327.55,318.6,1226,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-10972.699999999986,-2.73240726606625,4
COCHINSHIP,2024-06-07,2024-07-25,1912.75,2461.75,180,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,98820.0,28.7021304404653,48
