symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
UNIONBANK,2023-09-22,2023-10-18,92.3,92.59,1675,rebalance,NIFTY PSU BANK,485.75000000001046,0.31419284940412684,26
BLUESTARCO,2023-10-09,2023-10-19,868.3,944.25,194,rebalance,NIFTY CONSR DURBL,14734.300000000008,8.746976851318667,10
BSE,2023-09-14,2023-10-20,427.5,529.5,273,rebalance,NIFTY MS FIN SERV,27846.0,23.859649122807024,36
MAZDOCK,2023-09-13,2023-10-23,1030.6,977.4015999690982,152,stop,NIFTY IND DEFENCE,-8086.156804697053,-5.161886282835404,40
IRFC,2023-10-18,2023-10-25,77.5,70.67250355288732,2002,stop,NIFTY FINSEREXBNK,-13668.647887119583,-8.809672834984106,7
KAYNES,2023-10-19,2023-10-25,2548.85,2313.373549268579,71,stop,NIFTY MULTI INFRA,-16718.828001930873,-9.238537015964877,6
POLYCAB,2023-08-04,2023-10-25,4614.9,5023.15,22,rebalance,,8981.5,8.84634553294763,82
KAYNES,2023-10-25,2023-10-26,2311.85,2291.55,75,rebalance,NIFTY MULTI INFRA,-1522.4999999999795,-0.878084650820754,1
ANGELONE,2023-10-20,2023-11-01,234.3,263.0,617,rebalance,NIFTY MS FIN SERV,17707.899999999994,12.249253094323521,12
MCX,2023-10-23,2023-11-03,443.0,509.0,335,rebalance,NIFTY MS FIN SERV,22110.0,14.89841986455982,11
BSE,2023-11-01,2023-11-07,598.0,672.0,271,rebalance,NIFTY MS FIN SERV,20054.0,12.374581939799324,6
KALYANKJIL,2023-10-05,2023-11-08,234.4,347.9,634,rebalance,NIFTY CONSR DURBL,71958.99999999999,48.42150170648463,34
OIL,2023-10-09,2023-11-08,207.5,207.05,831,rebalance,NIFTY OIL AND GAS,-373.94999999999055,-0.21686746987951144,30
PFC,2023-08-14,2023-11-13,213.64041916167662,307.5,501,rebalance,NIFTY FINSEREXBNK,47023.650000000016,43.933437879698836,91
KAYNES,2023-11-08,2023-11-13,2476.6,2462.85,79,rebalance,NIFTY MULTI INFRA,-1086.25,-0.5551966405555997,5
KALYANKJIL,2023-11-13,2023-11-16,337.2,307.1668256224057,606,stop,NIFTY CONSR DURBL,-18200.103672822122,-8.906635343296044,3
MCX,2023-11-13,2023-11-16,555.0,593.0,261,rebalance,NIFTY MS FIN SERV,9918.0,6.8468468468468435,3
NBCC,2023-10-26,2023-11-17,42.53,44.7,4070,rebalance,NIFTY MULTI INFRA,8831.900000000007,5.102280743004939,22
BAJAJ-AUTO,2023-10-09,2023-11-23,4883.5,5779.0,23,rebalance,NIFTY AUTO,20596.5,18.33725811405753,45
LTM,2023-11-16,2023-11-23,5519.5,5471.35,24,rebalance,NIFTY IT,-1155.5999999999913,-0.8723616269589618,7
PFC,2023-11-23,2023-12-01,320.75,365.15,433,rebalance,NIFTY FINSEREXBNK,19225.19999999999,13.842556508183934,8
RECLTD,2023-08-31,2023-12-04,238.65,389.8,570,rebalance,NIFTY FINSEREXBNK,86155.5,63.33542845170752,95
IRFC,2023-11-03,2023-12-14,72.15,92.65,2367,rebalance,NIFTY FINSEREXBNK,48523.5,28.413028413028417,41
MANAPPURAM,2023-12-01,2023-12-18,162.7,171.3,973,rebalance,NIFTY MS FIN SERV,8367.800000000023,5.285802089735725,17
RECLTD,2023-12-18,2023-12-20,435.1,404.6664462431879,384,stop,NIFTY FINSEREXBNK,-11686.484642615847,-6.994611297819375,2
CGPOWER,2023-12-04,2023-12-21,470.0,456.1,471,rebalance,NIFTY ENERGY,-6546.89999999999,-2.957446808510633,17
TATAELXSI,2023-10-25,2023-12-28,7545.25,8757.95,15,rebalance,NIFTY MS IT TELCM,18190.50000000001,16.07236340744178,64
KALYANKJIL,2023-11-16,2023-12-28,313.5,345.45,652,rebalance,NIFTY CONSR DURBL,20831.399999999994,10.191387559808618,42
TRENT,2023-12-28,2023-12-29,2017.3,2036.6,76,rebalance,NIFTY NONCYC CONS,1466.7999999999965,0.9567243345065091,1
NMDC,2023-10-25,2024-01-04,46.7,68.2,2717,rebalance,NIFTY METAL,58415.5,46.038543897216265,71
IRFC,2023-12-28,2024-01-12,96.45,113.4,2093,rebalance,NIFTY FINSEREXBNK,35476.350000000006,17.573872472783837,15
TRENT,2024-01-04,2024-01-12,2045.2,2141.4,90,rebalance,NIFTY NONCYC CONS,8658.000000000004,4.703696460003903,8
BSE,2023-11-23,2024-01-15,709.6081081081081,737.8060262761217,185,stop,NIFTY MS FIN SERV,5216.614861082503,3.9737311124012242,53
ANGELONE,2023-11-07,2024-01-16,253.7,332.13266787821595,718,stop,NIFTY MS FIN SERV,56314.65553655906,30.91551749239889,70
NMDC,2024-01-12,2024-01-18,64.5,60.381244529197986,3881,stop,NIFTY METAL,-15984.889982182618,-6.385667396592265,6
ANGELONE,2024-01-16,2024-01-20,333.0,324.6,716,rebalance,NIFTY MS FIN SERV,-6014.399999999983,-2.522522522522519,4
PRESTIGE,2023-12-14,2024-01-23,1164.6,1128.0420328237103,188,stop,NIFTY REALTY,-6872.897829142444,-3.139100736415046,40
OIL,2024-01-12,2024-01-23,250.0,264.15,719,rebalance,NIFTY OIL AND GAS,10173.849999999984,5.659999999999998,11
BSE,2024-01-15,2024-01-23,746.0,704.0,183,rebalance,NIFTY MS FIN SERV,-7686.0,-5.630026809651478,8
NBCC,2024-01-20,2024-01-29,67.83,84.67,3429,rebalance,NIFTY MULTI INFRA,57744.360000000015,24.82677281438892,9
TRENT,2024-01-23,2024-01-31,2109.4,2016.0560456165952,74,stop,NIFTY NONCYC CONS,-6907.452624371965,-4.425142428340045,8
NHPC,2024-01-31,2024-02-02,90.95,100.65,1640,rebalance,NIFTY COMMODITIES,15908.000000000005,10.665200659703133,2
IRFC,2024-01-23,2024-02-12,161.3,139.8172640518726,1351,stop,NIFTY FINSEREXBNK,-29023.176265920134,-13.318497178008315,20
PRESTIGE,2024-01-29,2024-02-13,1212.8,1143.3,216,rebalance,NIFTY REALTY,-15012.0,-5.730540897097624,15
MCX,2023-11-17,2024-02-14,574.0,662.3211747495676,324,stop,NIFTY MS FIN SERV,28616.060618859905,15.386964242084943,89
BSE,2024-02-02,2024-02-14,821.3316831683169,759.6102343051361,202,stop,NIFTY MS FIN SERV,-12467.73267036251,-7.514801891616796,12
BAJAJ-AUTO,2023-12-29,2024-02-14,6713.576923076923,7883.5,26,rebalance,NIFTY AUTO,30418.000000000007,17.42622584544522,47
BHEL,2024-01-18,2024-02-16,212.15,225.85,1104,rebalance,NIFTY ENERGY,15124.799999999988,6.4576950271034494,29
TRENT,2024-02-12,2024-02-19,2534.7,2698.1,74,rebalance,NIFTY NONCYC CONS,12091.600000000006,6.446522270880184,7
BSE,2024-02-14,2024-02-20,782.5,765.5,221,rebalance,NIFTY MS FIN SERV,-3757.0,-2.1725239616613434,6
OIL,2024-02-16,2024-02-20,382.45,403.15,653,rebalance,NIFTY OIL AND GAS,13517.099999999993,5.412472218590669,4
PFC,2023-12-21,2024-02-22,388.85,401.9868079398958,552,stop,NIFTY FINSEREXBNK,7251.5179828224755,3.378374164818254,63
NBCC,2024-02-22,2024-02-26,97.33,93.13,2359,rebalance,NIFTY MULTI INFRA,-9907.800000000007,-4.315216274529954,4
RECLTD,2023-12-20,2024-02-27,404.45,443.2,384,rebalance,NIFTY FINSEREXBNK,14880.0,9.580912350105075,69
IOC,2024-02-14,2024-02-28,167.67,151.99885563647436,1349,stop,NIFTY OIL AND GAS,-21140.37374639607,-9.346421162715824,14
IRFC,2024-02-13,2024-02-28,153.45,147.4,1612,rebalance,NIFTY FINSEREXBNK,-9752.599999999973,-3.9426523297490967,15
NHPC,2024-02-14,2024-02-28,88.55,88.05,1959,rebalance,NIFTY COMMODITIES,-979.5,-0.5646527385657851,14
BAJAJ-AUTO,2024-02-20,2024-02-29,8090.0,7726.643116288888,21,stop,NIFTY AUTO,-7630.494557933343,-4.491432431534137,9
MCX,2024-02-19,2024-03-04,742.0,742.0,269,rebalance,NIFTY MS FIN SERV,0.0,0.0,14
TRENT,2024-02-20,2024-03-06,2683.9,2503.3718280298076,95,stop,NIFTY NONCYC CONS,-17150.176337168286,-6.726337492834777,15
COALINDIA,2023-11-08,2024-03-13,295.5,400.2403722725692,664,stop,NIFTY ENERGY,69547.60718898593,35.44513444080175,126
NMDC,2024-01-23,2024-03-13,61.95818768996961,65.88856814252135,2632,stop,NIFTY METAL,10344.761351116174,6.343601385209707,50
HAL,2024-02-28,2024-03-13,3085.2,3018.741449013678,53,stop,NIFTY IND DEFENCE,-3522.3032022750567,-2.154108355578954,14
IOC,2024-02-28,2024-03-13,152.33,148.49,1628,rebalance,NIFTY OIL AND GAS,-6251.520000000006,-2.520842906846976,14
BPCL,2024-03-13,2024-03-19,275.8,257.35,890,rebalance,NIFTY OIL AND GAS,-16420.49999999999,-6.689630166787519,6
ABB,2024-03-13,2024-03-22,5597.25,5967.4,43,rebalance,NIFTY ENERGY,15916.449999999984,6.613068917772114,9
GODFRYPHLP,2024-03-22,2024-03-26,1043.0,1021.0,243,rebalance,,-5346.0,-2.1093000958772756,4
UNIONBANK,2024-03-13,2024-04-01,129.6,143.88,1269,rebalance,NIFTY PSU BANK,18121.32,11.018518518518515,19
IOC,2024-03-26,2024-04-09,152.38,153.76,1649,rebalance,NIFTY OIL AND GAS,2275.6199999999926,0.9056306601916253,14
HEROMOTOCO,2024-03-04,2024-04-10,4498.8,4384.9,45,rebalance,NIFTY AUTO,-5125.500000000025,-2.5317862541122227,37
GODFRYPHLP,2024-04-01,2024-04-12,1033.0,1016.0,176,rebalance,,-2992.0,-1.645692158760892,11
OFSS,2024-02-27,2024-04-16,7168.0,7209.968044033692,23,stop,NIFTY MS IT TELCM,965.2650127749257,0.5854916857378933,49
ABB,2024-04-12,2024-04-18,6752.95,6407.451836082457,26,stop,NIFTY ENERGY,-8982.952261856119,-5.1162553242293125,6
ZYDUSLIFE,2024-03-13,2024-04-19,968.65,918.6034829366893,197,stop,NIFTY PHARMA,-9859.16386147221,-5.166625413029546,37
INDHOTEL,2024-03-19,2024-04-26,549.1,568.95,417,rebalance,NIFTY IND TOURISM,8277.45000000001,3.615006374066665,38
TRENT,2024-03-06,2024-05-02,2581.3,3097.8,92,rebalance,NIFTY NONCYC CONS,47518.0,20.009297640723656,57
SIEMENS,2024-04-19,2024-05-06,4258.1,4652.8,42,rebalance,NIFTY ENERGY,16577.399999999994,9.269392452032598,17
360ONE,2024-04-26,2024-05-09,808.05,722.8895221349921,294,stop,NIFTY MS FIN SERV,-25037.180492312295,-10.539010935586635,13
INDUSTOWER,2024-05-02,2024-05-09,340.15,314.3786825904521,783,stop,NIFTY MS IT TELCM,-20178.941531675977,-7.576456683683041,7
JINDALSTEL,2024-04-16,2024-05-14,901.9668393782382,978.45,193,rebalance,NIFTY METAL,14761.250000000035,8.479597839149466,28
CUMMINSIND,2024-02-28,2024-05-15,2714.6,3683.2,76,rebalance,,73613.59999999999,35.681131658439554,77
HAL,2024-04-10,2024-05-16,3565.4,4603.7,55,rebalance,NIFTY IND DEFENCE,57106.499999999985,29.12155718853424,36
ABB,2024-04-18,2024-05-16,6391.857142857143,8305.15,28,rebalance,NIFTY ENERGY,53572.19999999998,29.933285653621788,28
BAJAJ-AUTO,2024-02-29,2024-05-22,7714.0,8588.0,21,rebalance,NIFTY AUTO,18354.0,11.33004926108374,83
BLUESTARCO,2024-04-09,2024-05-22,1399.85,1529.5,181,rebalance,NIFTY CONSR DURBL,23466.650000000016,9.26170661142265,43
OFSS,2024-05-09,2024-05-24,7121.5,7104.5,28,rebalance,NIFTY MS IT TELCM,-476.0,-0.23871375412483076,15
INDUSTOWER,2024-05-09,2024-05-27,315.95,330.3,823,rebalance,NIFTY MS IT TELCM,11810.05000000002,4.5418578889064865,18
SUPREMEIND,2024-05-16,2024-05-29,5538.5,5515.5,51,rebalance,NIFTY MULTI MFG,-1173.0,-0.41527489392434447,13
CUMMINSIND,2024-05-22,2024-05-31,3734.3,3523.0153967000765,71,stop,,-15001.20683429458,-5.657944013601579,9
OIL,2024-02-26,2024-05-31,380.0,423.8,578,rebalance,NIFTY OIL AND GAS,25316.400000000005,11.526315789473696,95
TRENT,2024-05-06,2024-06-04,3006.0,2802.933948566994,66,stop,NIFTY NONCYC CONS,-13402.359394578405,-6.755357665768669,29
MOTILALOFS,2024-05-14,2024-06-04,566.8063218390805,511.62540472034567,348,stop,NIFTY CAPITAL MKT,-19202.959157319725,-9.735409608646005,21
GODFRYPHLP,2024-05-15,2024-06-04,1182.0,1137.4530909676105,233,stop,,-10379.429804546759,-3.7687740298129935,20
ZYDUSLIFE,2024-05-16,2024-06-04,1009.0,968.6680246670686,206,stop,NIFTY PHARMA,-8308.386918583867,-3.997222530518474,19
ABB,2024-05-22,2024-06-04,8413.2,7938.378734675424,22,stop,NIFTY ENERGY,-10446.067837140681,-5.643765336906014,13
SIEMENS,2024-05-27,2024-06-04,5496.5,5197.770492601463,49,stop,NIFTY ENERGY,-14637.74586252831,-5.4349041644416785,8
HAL,2024-05-29,2024-06-04,5051.75,4680.629365299431,55,stop,NIFTY IND DEFENCE,-20411.6349085313,-7.346377684971928,6
CUMMINSIND,2024-05-31,2024-06-04,3551.3,3308.2875406788157,61,stop,,-14823.760018592251,-6.8429155329368,4
COCHINSHIP,2024-05-31,2024-06-05,1947.65,1701.7793195079328,142,stop,NIFTY IND DEFENCE,-34913.63662987356,-12.623966343648362,5
GVT&D,2024-05-24,2024-06-06,1370.8379194630872,1230.3916687576457,149,stop,NIFTY ENERGY,-20926.491355110793,-10.245284924745135,13
BLUESTARCO,2024-06-04,2024-06-20,1600.337272727273,1668.4,110,rebalance,NIFTY CONSR DURBL,7486.899999999969,4.253023936431566,16
ZYDUSLIFE,2024-06-04,2024-06-25,1003.6,1071.75,174,rebalance,NIFTY PHARMA,11858.099999999997,6.790554005579907,21
POLICYBZR,2024-06-04,2024-06-26,1240.45,1345.2,141,rebalance,NIFTY MS FIN SERV,14769.75,8.444516103027123,22
PHOENIXLTD,2024-06-04,2024-06-27,1628.85,1780.1,149,rebalance,NIFTY REALTY,22536.25,9.28569235964023,23
MAZDOCK,2024-06-27,2024-07-04,2208.2,2792.75,120,rebalance,NIFTY IND DEFENCE,70146.00000000003,26.471786975817423,7
COCHINSHIP,2024-06-06,2024-07-05,1853.0,2837.6,98,rebalance,NIFTY IND DEFENCE,96490.79999999999,53.13545601726928,29
ABB,2024-06-04,2024-07-18,7666.75,8056.520907862954,34,stop,NIFTY ENERGY,13252.21086734044,5.0839131035048,44
DIXON,2024-07-04,2024-07-18,12658.45,11934.640239058232,24,stop,NIFTY CONSR DURBL,-17371.43426260246,-5.717996760596822,14
SIEMENS,2024-06-04,2024-07-18,4854.3,5424.95,53,rebalance,NIFTY ENERGY,30244.449999999983,11.755556928908373,44
TRENT,2024-06-04,2024-07-19,3025.4,3423.3797715405935,86,stop,NIFTY NONCYC CONS,34226.26035249104,13.1546166305478,45
CUMMINSIND,2024-06-05,2024-07-19,3404.1,3629.332891604817,71,stop,,15991.535303942026,6.616518069528432,44
HAL,2024-06-25,2024-07-19,5371.65,4917.7925743296655,34,stop,NIFTY IND DEFENCE,-15431.15247279136,-8.449125048548101,24
GVT&D,2024-06-20,2024-07-22,1590.8766423357665,1453.6,137,rebalance,NIFTY ENERGY,-18806.900000000027,-8.628993517323469,32
BEL,2024-06-26,2024-07-23,306.9112440191388,293.37271359009424,627,stop,NIFTY IND DEFENCE,-8488.658579010937,-4.411220081659928,27
HAL,2024-07-22,2024-07-23,4997.25,4581.7978259765405,39,stop,NIFTY IND DEFENCE,-16202.634786914921,-8.313615969252275,1
DIXON,2024-07-19,2024-07-23,11267.2,10943.1,25,rebalance,NIFTY CONSR DURBL,-8102.500000000009,-2.876491053677932,4
MAZDOCK,2024-07-18,2024-07-25,2595.4,2428.25,114,rebalance,NIFTY IND DEFENCE,-19055.10000000001,-6.440240425367961,7
CDSL,2024-07-19,2024-08-01,1142.6511560693639,1218.9,173,rebalance,NIFTY MS FIN SERV,13191.050000000065,6.672976570813316,13
CAMS,2024-07-23,2024-08-05,810.3,790.6372972713522,309,stop,NIFTY MS FIN SERV,-6075.7751431521665,-2.4265954249843014,13
GODFRYPHLP,2024-06-04,2024-08-05,1183.0,1330.0,147,rebalance,,21609.0,12.426035502958577,62
COCHINSHIP,2024-07-18,2024-08-05,2622.45,2411.0,113,rebalance,NIFTY IND DEFENCE,-23893.84999999998,-8.063070792579452,18
BEL,2024-07-23,2024-08-05,301.5370060790273,290.25,658,rebalance,NIFTY IND DEFENCE,-7426.849999999978,-3.7431578385006548,13
MAZDOCK,2024-08-01,2024-08-05,2553.8,2399.75,82,rebalance,NIFTY IND DEFENCE,-12632.100000000015,-6.032187328686667,4
MUTHOOTFIN,2024-08-05,2024-08-06,1824.15,1719.7805674025767,105,stop,NIFTY FINSEREXBNK,-10958.790422729455,-5.721537844882462,1
TRENT,2024-07-23,2024-08-06,3509.2,3480.5,54,rebalance,NIFTY NONCYC CONS,-1549.7999999999902,-0.8178502222728756,14
CAMS,2024-08-05,2024-08-06,798.2,776.0,361,rebalance,NIFTY MS FIN SERV,-8014.200000000016,-2.781257830117767,1
HDFCAMC,2024-08-05,2024-08-06,1935.2,1913.6,99,rebalance,NIFTY FINSEREXBNK,-2138.4000000000133,-1.1161637040099315,1
RVNL,2024-07-18,2024-08-09,586.15,518.5391418163806,436,stop,,-29478.334168058045,-11.534736532222023,22
KFINTECH,2024-08-06,2024-08-09,831.2,1075.35,228,rebalance,NIFTY MS FIN SERV,55666.19999999997,29.37319538017322,3
GODFRYPHLP,2024-08-06,2024-08-13,1357.0,1464.0,141,rebalance,,15087.0,7.885040530582166,7
MAZDOCK,2024-08-09,2024-08-13,2458.9,2416.8,110,rebalance,NIFTY IND DEFENCE,-4630.99999999999,-1.7121477083248515,4
GVT&D,2024-07-25,2024-08-22,1534.7,1637.5,180,rebalance,NIFTY ENERGY,18503.999999999993,6.698377533068345,28
PETRONET,2024-08-06,2024-08-26,340.85,353.55,558,rebalance,NIFTY OIL AND GAS,7086.599999999994,3.7259791697227485,20
CROMPTON,2024-08-05,2024-08-28,428.534140969163,462.8,454,rebalance,NIFTY CONSR DURBL,15556.700000000008,7.996062799883852,23
CDSL,2024-08-26,2024-08-30,1539.1,1405.0593067351952,128,stop,NIFTY MS FIN SERV,-17157.20873789501,-8.709030814424324,4
OIL,2024-08-28,2024-09-05,726.4,667.5813515482166,289,stop,NIFTY OIL AND GAS,-16998.58940256539,-8.097280899199255,8
MUTHOOTFIN,2024-08-06,2024-09-12,1787.95,1986.4,150,rebalance,NIFTY FINSEREXBNK,29767.500000000007,11.099303671802897,37
KALYANKJIL,2024-08-22,2024-09-13,596.4,716.05,494,rebalance,NIFTY CONSR DURBL,59107.09999999999,20.06203890006706,22
RVNL,2024-08-13,2024-09-17,569.45,530.55,480,rebalance,,-18672.000000000044,-6.8311528668013155,35
360ONE,2024-07-19,2024-09-25,966.1,1034.4,251,rebalance,NIFTY MS FIN SERV,17143.300000000017,7.069661525721971,68
TRENT,2024-08-09,2024-09-26,4183.6,5230.3,48,rebalance,NIFTY NONCYC CONS,50241.59999999999,25.019122287025517,48
GODFRYPHLP,2024-09-05,2024-09-27,2164.4545454545455,2333.0,99,rebalance,,16685.999999999996,7.786971313368896,22
360ONE,2024-09-26,2024-09-30,1079.75,1039.6,233,rebalance,NIFTY MS FIN SERV,-9354.95000000002,-3.7184533456818825,4
MOTILALOFS,2024-09-13,2024-10-04,756.7,695.1966128058554,438,stop,NIFTY CAPITAL MKT,-26938.483591035376,-8.127842896014892,21
CDSL,2024-08-30,2024-10-04,1434.9,1373.8,125,rebalance,NIFTY MS FIN SERV,-7637.500000000017,-4.258136455502138,35
PGEL,2024-07-05,2024-10-07,368.8,551.9529041512076,754,stop,NIFTY CONSR DURBL,138097.2897300105,49.66185036637949,94
KAYNES,2024-09-12,2024-10-07,5165.85,4870.8,57,rebalance,NIFTY MULTI INFRA,-16817.85000000001,-5.71154795435408,25
MOTILALOFS,2024-10-04,2024-10-07,727.25,703.9,357,rebalance,NIFTY CAPITAL MKT,-8335.950000000008,-3.210725335166731,3
MCX,2024-10-07,2024-10-11,1154.0,1282.0,272,rebalance,NIFTY MS FIN SERV,34816.0,11.09185441941074,4
BAJAJ-AUTO,2024-10-04,2024-10-17,11483.5,10943.18545018903,18,stop,NIFTY AUTO,-9725.661896597456,-4.70513824017913,13
LTM,2024-09-27,2024-10-18,6136.1,5991.7,37,rebalance,NIFTY IT,-5342.80000000002,-2.3532862893368867,21
KFINTECH,2024-08-13,2024-10-22,1017.5767699115045,975.7976451890071,226,stop,NIFTY MS FIN SERV,-9442.08218728441,-4.105746707064739,70
