symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
GODFRYPHLP,2025-04-16,2025-05-21,2448.0,2851.0,161,dropped out of top 20 rank (now #25 of 59),64883.0,16.462418300653603,35
INDIGO,2025-05-13,2025-05-23,5521.0,5521.0,75,dropped out of top 20 rank (now #22 of 60),0.0,0.0,10
MAZDOCK,2025-04-30,2025-06-11,3057.6,3322.8157328919056,129,stop,34212.82954305583,8.673983938118312,42
BDL,2025-05-12,2025-06-12,1569.9,1871.0,256,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,77081.59999999998,19.179565577425308,31
NAM-INDIA,2025-05-23,2025-06-12,725.25,736.35,593,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,6582.300000000014,1.5305067218200685,20
BSE,2025-04-07,2025-06-13,1727.5,2653.0,220,stop,203610.0,53.574529667149065,67
PNBHOUSING,2025-04-17,2025-06-13,990.65,1055.6,405,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,26304.74999999997,6.556301418260735,57
ANGELONE,2025-06-11,2025-06-13,311.4,292.5,1452,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-27442.799999999967,-6.0693641618497,2
HDFCAMC,2025-05-13,2025-06-16,2159.8,2299.7,192,stop,26860.79999999993,6.477451615890351,34
BSE,2025-06-13,2025-06-18,2711.2,2633.2,161,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-12558.0,-2.8769548539392176,5
HAL,2025-05-21,2025-06-19,5001.1,4902.3,85,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8398.000000000015,-1.9755653756173719,29
CDSL,2025-06-18,2025-06-19,1680.3,1637.8,261,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-11092.5,-2.529310242218652,1
BDL,2025-06-16,2025-06-24,1888.0,1851.7,233,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8457.899999999989,-1.9226694915254194,8
BSE,2025-06-24,2025-07-04,2785.6,2635.2,160,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-24064.000000000015,-5.399195864445727,10
HDFCAMC,2025-06-19,2025-07-07,2386.8,2446.0,182,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,10774.399999999967,2.4803083626612876,18
MCX,2025-06-12,2025-07-11,1502.0,1656.6749616185812,294,stop,45474.43871586286,10.297933529865588,29
BEL,2025-04-30,2025-07-11,314.1,409.3,1264,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,120332.79999999999,30.308818847500785,72
GVT&D,2025-06-12,2025-07-11,2308.6,2332.9,191,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,4641.300000000035,1.0525859828467654,29
CDSL,2025-07-04,2025-07-11,1762.5,1688.7,257,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-18966.599999999988,-4.1872340425531895,7
AUBANK,2025-05-08,2025-07-16,689.0,797.75,573,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,62313.75,15.78374455732947,69
LTF,2025-07-07,2025-07-17,207.77,199.78,2175,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-17378.25000000002,-3.8455984983395197,10
ABCAPITAL,2025-06-19,2025-07-18,255.68,264.35,1701,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,14747.670000000027,3.390957446808507,29
360ONE,2025-06-16,2025-07-22,1169.6,1131.0625094890302,376,stop,-14490.096432124625,-3.294929079255282,36
MOTILALOFS,2025-07-11,2025-07-24,934.4,904.9,472,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-13924.0,-3.1571061643835607,13
GODFRYPHLP,2025-07-16,2025-07-24,3106.0,2935.0,143,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-24453.0,-5.505473277527361,8
NAM-INDIA,2025-07-11,2025-07-25,804.85,809.7,548,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2657.8000000000125,0.6025967571597235,14
POLYCAB,2025-07-17,2025-07-25,6886.0,6734.5,64,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-9696.0,-2.200116177751965,8
MANAPPURAM,2025-07-18,2025-07-25,271.3,265.65,1638,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-9254.700000000055,-2.082565425727989,7
RBLBANK,2025-07-14,2025-07-28,263.38,253.26,1676,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-16961.120000000006,-3.842357050649259,14
LTF,2025-07-24,2025-07-28,210.1,201.99,2075,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-16828.24999999997,-3.8600666349357327,4
MUTHOOTFIN,2025-06-13,2025-07-29,2598.7,2617.1,168,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3091.2000000000153,0.7080463308577478,46
POLYCAB,2025-07-29,2025-08-01,6962.5,6698.0,61,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-16134.5,-3.7989228007181297,3
GLENMARK,2025-07-22,2025-08-05,2157.9,2052.6,205,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-21586.500000000036,-4.879744195745872,14
MOTILALOFS,2025-07-30,2025-08-05,933.4,910.75,461,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-10441.649999999989,-2.4266123848296517,6
ETERNAL,2025-07-25,2025-08-07,310.55,291.55,1385,stop,-26315.0,-6.118177427145389,13
POLYCAB,2025-08-05,2025-08-08,6925.5,6741.0,62,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-11439.0,-2.6640675763482835,3
MOTILALOFS,2025-08-07,2025-08-08,917.8,905.6,471,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5746.199999999968,-1.3292656352146381,1
HDFCAMC,2025-07-11,2025-08-11,2503.2,2691.6,176,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,33158.400000000016,7.526366251198469,31
