symbol,entry_date,entry_price,ema13,ema21,atr,dist13_atr,dist21_atr,nearest_ema_dist_atr,dist13_pct,dist21_pct,ret_pct,pnl,win
PRESTIGE,2023-12-13,1166.05,1075.7576729831726,1020.8112827764779,62.31485626323027,1.448969514354887,2.330723778130932,1.448969514354887,7.743435274373085,12.455616587926936,-10.688196263149996,-24302.793942659795,False
ADANIPOWER,2023-12-18,107.84599737532808,101.65689301154603,96.83928480219137,5.393100558687762,1.1475966925578651,2.040887695929564,1.1475966925578651,5.73883548245429,10.205953712710263,-9.99777345020897,-16432.07050288031,False
MCX,2023-11-17,574.0,533.4970797526687,508.86602328490926,24.051121444124423,1.6840345819810403,2.7081471800144548,1.6840345819810403,7.056257882810332,11.34738270297748,10.45296167247387,15720.0,True
NMDC,2023-10-26,46.4,47.21238034236093,46.43612498263249,1.613624758200576,-0.5034505935982618,-0.02238747419367697,0.02238747419367697,-1.750819703364077,-0.07785556601830526,46.98275862068966,79679.00000000001,True
OIL,2024-01-04,255.15,246.1720700671459,238.5352478400983,10.26146959766692,0.8749165845499699,1.6191396370437325,0.8749165845499699,3.5186870205189478,6.511758636057892,-4.683519498334321,-11687.100000000017,False
IRFC,2023-12-21,98.85,88.97521538489448,85.35095256854054,5.205844527223395,1.8968650645378295,2.593056200750458,1.8968650645378295,9.989665771477503,13.656092495153727,14.719271623672237,28168.80000000002,True
BSE,2023-11-21,716.5,710.91780515694,671.3245631015258,42.405862986415755,0.13163733620627519,1.0653111083471094,0.13163733620627519,0.7790920925415284,6.305015617372538,2.97362543979367,5667.402989448361,True
COALINDIA,2023-12-01,325.55,316.71450869561585,311.51696990443884,7.721168807535095,1.1443204422316995,1.8174748467960353,1.1443204422316995,2.714019752536988,4.310560619124919,10.950698817385952,25881.899999999983,True
ANGELONE,2023-11-07,253.7,249.4282983966644,238.1657127486966,12.72446576030202,0.3357077368750929,1.2208203899426173,0.3357077368750929,1.6837609788473002,6.123093122311154,30.91551749239889,50667.50344932752,True
KALYANKJIL,2023-11-16,313.5,321.1788926251999,310.58316955276837,16.17144507605466,-0.4748426989106985,0.18036918985988665,0.18036918985988665,-2.4494075359489385,0.930408436118543,17.352472089314187,37590.39999999999,True
NBCC,2024-01-10,61.67,56.959131783206885,55.39241151295886,2.6047869692686514,1.8085426072734814,2.4100199214386073,1.8085426072734814,7.638832847078185,10.179322988553825,-8.447501116486633,-20093.32668093838,False
HAL,2024-01-12,3001.95,2922.64153539665,2845.9696634848674,74.15030961796144,1.0695634989518503,2.1035695915334287,1.0695634989518503,2.6418982529139354,5.1959671718427165,-4.940142881657694,-10825.94520422238,False
ANGELONE,2024-01-18,329.5,353.526735031113,348.6939786627149,17.300813472263087,-1.388763312755958,-1.1094263685049832,1.1094263685049832,-7.291877095937176,-5.825183205679795,-1.487101669195745,-3772.999999999983,False
PRESTIGE,2024-01-01,1188.7,1133.6068774362066,1102.2949509743526,53.044127692737185,1.0386281188923547,1.6289277019721466,1.0386281188923547,4.634737323445233,7.26886927110688,-5.10288274386218,-8431.457437504272,False
BSE,2024-01-15,746.0,755.4691597757374,757.5083940607992,24.393243900186036,-0.3881878037412292,-0.4717861268427464,0.3881878037412292,-1.269324366720825,-1.5426801690079381,-5.630026809651478,-14868.0,False
OIL,2024-01-15,264.35,250.17305174874485,245.01254408610578,9.450627720753745,1.5001065188635396,2.0461557142314315,1.5001065188635396,5.3629461892397075,7.315095863020331,1.664459996217138,3233.999999999983,True
HEROMOTOCO,2024-01-18,4188.9,4036.7408815111057,3942.8690713366746,104.0982218557705,1.4616879690770552,2.3634498676087308,1.4616879690770552,3.632436164360427,5.873401815830531,4.645611019599416,7978.600000000015,True
NBCC,2024-01-20,67.83,60.49035284985256,58.765697473135646,3.0351339730580857,2.4182283929800588,2.9864587880881928,2.4182283929800588,10.820650376157209,13.363264819201465,24.82677281438892,62122.76000000001,True
TRENT,2024-01-16,2110.7,2074.2566077761408,2036.4930474122161,45.28609901385202,0.8047368401661587,1.638625410527973,0.8047368401661587,1.7266021805021587,3.5157508214233997,-4.2910976466434825,-9057.219802770396,False
MOTILALOFS,2024-01-25,433.0,386.64059801586336,369.5817534358105,22.861454044539666,2.0278413566266282,2.774025065975039,2.0278413566266282,10.706559349685136,14.646246319674244,4.41108545034643,8709.60000000001,True
NHPC,2024-01-29,86.95,76.70816839855775,73.72473079833324,4.326284936096543,2.367350221431117,3.0569575044216726,2.367350221431117,11.778989765891037,15.210200346942798,15.756181713628514,42620.70000000001,True
RVNL,2024-01-23,289.9944130127298,242.90622591335472,224.90451682619815,17.960908491868175,2.6217040814329815,3.6239757145915643,2.6217040814329815,16.237618721746916,22.445224206327875,-12.816188288025632,-26276.524607501564,False
OFSS,2024-01-29,6020.5,5382.9800386585,4994.552952306995,284.22092916592703,2.243043688627582,3.6096815625216006,2.243043688627582,10.589153082659243,17.04089440566406,13.99385433103564,30330.0,True
IRFC,2024-01-23,161.3,137.47930596714957,125.65504896866621,10.741367974063703,2.2176592488376072,3.318474063769413,2.2176592488376072,14.76794422371385,22.09854372680335,-13.318497178008316,-32159.655714346736,False
NHPC,2024-02-09,96.25,93.10863549539631,87.80195131970093,6.055467272398446,0.5187650041347605,1.3951109468969136,0.5187650041347605,3.2637553294583754,8.777193434076953,-12.58278913745131,-23095.55217692767,False
NBCC,2024-02-09,98.63,93.0204943272019,85.32430621767863,6.810906582132288,0.8236063151290393,1.9535862989557788,0.8236063151290393,5.687423373008308,13.490513821678366,-9.996958329108786,-24235.88,False
BSE,2024-02-01,831.0,752.3851640028251,751.775260103691,31.24833537415745,2.5158087640786704,2.535326728534419,2.5158087640786704,9.460269073065565,9.533663044080502,-7.520658333130559,-15499.174345582109,False
BAJAJ-AUTO,2023-12-13,6160.0,5928.418537861462,5807.403865380687,107.46514557600845,2.154944851163338,3.2810278414402436,2.154944851163338,3.7594393204308116,5.7239632243394905,27.9788961038961,44811.0,True
MOTILALOFS,2024-02-02,442.45,417.48578212479055,397.72275113834155,20.925304758730114,1.193015736833858,2.1374718015993563,1.193015736833858,5.642268702725605,10.1089951094267,1.7742117753418496,4921.950000000014,True
TRENT,2024-02-12,2534.7,2274.0390973994536,2208.4626919086745,101.00570159952022,2.580655334032989,3.2298900252664047,2.580655334032989,10.283698370637403,12.870844995120736,6.446522270880184,15523.00000000001,True
OFSS,2024-02-12,6554.5,6161.679056742816,5810.91729717061,305.5487072239438,1.2856246286431716,2.433597934631092,1.2856246286431716,5.993148878742603,11.344613667394764,8.589518651308259,14638.0,True
OIL,2024-02-19,396.15,338.73986564805085,320.31347392889063,22.177992326347994,2.588608270178924,3.419449558606516,2.588608270178924,14.49201927349467,19.143386613936478,1.7670074466742405,4529.0,True
COALINDIA,2024-02-14,437.95,409.8305787680529,397.6418693714152,16.229577169306012,1.7326034399175614,2.4836217362961874,1.7326034399175614,6.420692141099924,9.203820214313224,-7.411611905151727,-16326.954632321833,False
RECLTD,2023-12-20,404.45,410.22742095579775,393.6710468747757,16.767527002299108,-0.3445601104447653,0.6428469221338553,0.3445601104447653,-1.4284635816040958,2.6650891643526498,12.25120534058599,25964.200000000004,True
PFC,2023-12-21,388.9483132530121,388.9157417123538,373.2482935657107,15.599343238578573,0.0020880071782601387,1.0064538902172393,0.0020880071782601387,0.008374259393460317,4.036531115405166,6.029512392237191,9732.449999999972,True
BHEL,2024-01-16,203.0,196.02685646752929,191.41394438823113,7.064430393377861,0.9870779587562053,1.6400551731148125,0.9870779587562053,3.4350460751087266,5.7074165575216105,9.310344827586214,23965.200000000008,True
MAXHEALTH,2024-02-12,875.6814999999999,810.6041358266787,785.3076829819438,34.9943178178606,1.8596551735066744,2.582528326125295,1.8596551735066744,7.431624874263218,10.320398114846107,-2.7157705170201663,-4756.299999999987,False
CUMMINSIND,2024-02-21,2607.9,2534.4393195752505,2448.2380117185294,74.5359076711606,0.9855743724064555,2.1420814915929043,0.9855743724064555,2.816851889441682,6.1222435017244035,7.785958050538744,13401.29999999998,True
NBCC,2024-02-23,95.6,92.9990016884474,89.70229243091403,6.00637475739133,0.43303963149349983,0.9819080239421225,0.43303963149349983,2.720709530912763,6.1691501768681665,-2.5836820083682044,-4690.529999999998,False
IOC,2024-02-14,167.67,155.94123863733546,148.42255817053584,7.835572181762819,1.4968608661359857,2.456418163597841,1.4968608661359857,6.995146038447266,11.479359354365211,-9.346421162715824,-24932.790682369272,False
IRFC,2024-02-13,153.45,155.36278816851157,150.73384628039386,12.50009714825071,-0.15302186421641228,0.2172906088162867,0.15302186421641228,-1.2465221039502004,1.7700578166217833,-3.9426523297490967,-7641.149999999979,False
NHPC,2024-02-20,94.74745586708202,92.20878810947245,89.47315385065431,6.739353489141559,0.37669307029225774,0.7826124605165262,0.37669307029225774,2.6794046704230077,5.566695135146267,-7.06874480775258,-12899.299999999985,False
