symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
BEL,2022-04-12,2022-05-02,80.80954142011835,79.4,1352,rebalance,NIFTY IND DEFENCE,-1905.7000000000016,-1.744275979479104,20
MAZDOCK,2022-04-29,2022-05-02,150.1,146.7,932,rebalance,NIFTY IND DEFENCE,-3168.800000000005,-2.2651565622918146,3
JINDALSTEL,2022-04-29,2022-05-02,540.05,532.85,238,rebalance,NIFTY METAL,-1713.5999999999838,-1.333209887973319,3
ADANIPORTS,2022-04-25,2022-05-04,859.55,821.8033332559509,222,stop,NIFTY MOBILITY,-8379.760017178898,-4.391445145023454,9
ADANIENT,2022-03-31,2022-05-04,1953.3,2185.0,77,rebalance,NIFTY METAL,17840.900000000005,11.86197716684585,34
APLAPOLLO,2022-05-02,2022-05-04,1029.0,977.75,123,rebalance,NIFTY METAL,-6303.75,-4.980563654033043,2
ADANIPOWER,2022-03-28,2022-05-05,30.45,51.151169504948186,3307,stop,NIFTY COMMODITIES,68458.76755286365,67.98413630524855,38
ADANIGREEN,2022-04-22,2022-05-10,2820.423529411765,2535.135819436181,68,stop,NIFTY COMMODITIES,-19399.564278339698,-10.115066301233277,18
ADANIENSOL,2022-02-28,2022-05-10,2134.4,2482.55,80,rebalance,NIFTY COMMODITIES,27852.000000000007,16.31137556221889,71
NHPC,2022-04-25,2022-05-10,33.89261885999475,31.95,3807,rebalance,NIFTY COMMODITIES,-7395.550000000008,-5.731687090984061,15
TIINDIA,2022-05-10,2022-05-11,1804.0,1678.4833892316517,100,stop,NIFTY AUTO,-12551.66107683483,-6.957683523744363,1
NTPC,2022-05-02,2022-05-11,157.5,152.55,816,rebalance,NIFTY COMMODITIES,-4039.1999999999907,-3.142857142857136,9
ADANIPOWER,2022-05-10,2022-05-11,53.5,51.05,3386,rebalance,NIFTY COMMODITIES,-8295.70000000001,-4.579439252336459,1
POWERGRID,2022-05-02,2022-05-18,170.1,167.35,750,rebalance,NIFTY ENERGY,-2062.5,-1.6166960611405101,16
VBL,2022-05-02,2022-05-19,147.3,141.5,1278,rebalance,NIFTY FMCG,-7412.400000000014,-3.9375424304141315,17
POLYCAB,2022-05-18,2022-05-23,2560.9,2543.2,62,rebalance,,-1097.400000000017,-0.6911632629153952,5
PATANJALI,2022-05-19,2022-05-24,389.6,366.4,457,rebalance,NIFTY FMCG,-10602.400000000021,-5.954825462012336,5
BDL,2022-05-23,2022-05-25,386.4,353.75,402,rebalance,NIFTY IND DEFENCE,-13125.29999999999,-8.449792960662517,2
BAJAJ-AUTO,2022-05-18,2022-06-01,3697.5,3628.0,48,rebalance,NIFTY AUTO,-3336.0,-1.8796484110885747,14
ADANIPOWER,2022-05-16,2022-06-02,53.45,59.05,3335,rebalance,NIFTY COMMODITIES,18675.99999999998,10.477081384471454,17
EICHERMOT,2022-05-18,2022-06-06,2696.0,2653.1,66,rebalance,NIFTY AUTO,-2831.400000000006,-1.5912462908011848,19
ITC,2022-05-25,2022-06-08,224.85,220.95,674,rebalance,NIFTY FMCG,-2628.600000000004,-1.7344896597731863,14
ASHOKLEY,2022-06-02,2022-06-13,69.3,64.24282416414306,2564,stop,NIFTY AUTO,-12966.59884313719,-7.2975120286535855,11
COALINDIA,2022-06-08,2022-06-15,184.0,176.9,950,rebalance,NIFTY ENERGY,-6744.9999999999945,-3.8586956521739046,7
OIL,2022-06-06,2022-06-16,185.95,171.7701437904799,943,stop,NIFTY OIL AND GAS,-13371.604405577451,-7.625628507405269,10
HAL,2022-05-24,2022-06-16,892.3,898.55,199,rebalance,NIFTY IND DEFENCE,1243.75,0.7004370727333953,23
EICHERMOT,2022-06-13,2022-06-16,2700.8,2652.5,64,rebalance,NIFTY AUTO,-3091.2000000000116,-1.7883590047393483,3
BEL,2022-06-15,2022-06-16,80.05,77.45,2142,rebalance,NIFTY IND DEFENCE,-5569.199999999988,-3.2479700187382776,1
OIL,2022-06-16,2022-06-17,176.6,169.75,960,rebalance,NIFTY OIL AND GAS,-6575.9999999999945,-3.878822197055487,1
BDL,2022-06-01,2022-06-20,406.65,357.5940482537787,407,stop,NIFTY IND DEFENCE,-19965.772360712068,-12.06343335699528,19
